#{"t_start": 1752016563.1943502, "env_id": null}
r,l,t
1.2011415,251,3.710839
2.2962801,251,3.711133
-0.6885317,251,3.71118
3.283167,251,3.711219
-2.66006,251,3.711256
0.26003918,251,3.71129
0.8520578,251,3.711327
-1.3763107,251,3.711363
0.91640806,251,3.711399
1.1073744,251,3.711435
-0.19773927,251,3.711472
-1.9559143,251,3.711508
3.003089,251,3.711543
-1.5205309,251,3.71158
3.8962076,251,3.711615
-1.2531904,251,3.71165
1.1341133,251,7.251515
1.476243,251,7.251652
0.80855614,251,7.25168
-1.5408012,251,7.251702
-0.79955584,251,7.251724
2.063933,251,7.251745
0.020807786,251,7.251768
2.2776546,251,7.251789
-0.36140046,251,7.251812
1.6771218,251,7.251832
2.366545,251,7.251853
0.6258202,251,7.251902
-0.17900236,251,7.251926
1.7471148,251,7.251948
-1.0359082,251,7.25197
-0.067911625,251,7.251993
2.4803827,251,9.959267
2.1357024,251,9.959596
-2.1498723,251,9.959637
-0.28915876,251,9.959668
-0.06002693,251,9.9597
-0.78957546,251,9.95973
-1.2202307,251,9.95976
-2.0403137,251,9.95979
4.125429,251,9.959825
0.6488973,251,9.959855
-1.0338238,251,9.959911
1.7684964,251,9.959942
0.9461417,251,9.959971
1.049225,251,9.96
-0.4502237,251,9.960032
1.9521286,251,9.960062
2.4095206,251,13.631291
2.2148795,251,13.631526
1.920856,251,13.631556
0.90410745,251,13.631584
2.5694065,251,13.631606
0.058870602,251,13.631627
2.4440436,251,13.631651
0.37568903,251,13.631672
0.4080359,251,13.631698
2.193605,251,13.631722
3.5661545,251,13.631745
-1.7463758,251,13.631766
0.23748168,251,13.631788
2.9833577,251,13.631809
1.8614852,251,13.631831
-1.3119864,251,13.631853
0.6267111,251,16.523216
2.1907506,251,16.52353
-0.28397486,251,16.523571
3.4630702,251,16.523605
0.49363953,251,16.523635
0.18809094,251,16.523665
0.19358087,251,16.523701
-0.72319347,251,16.52373
0.74020493,251,16.523762
3.343694,251,16.523791
0.63753974,251,16.52382
-2.1514843,251,16.523849
3.5479684,251,16.5239
2.3244498,251,16.523932
0.82229275,251,16.523962
-1.5427235,251,16.523992
1.6804416,251,20.075437
-0.04428432,251,20.075706
-0.98618245,251,20.07575
3.3437197,251,20.075787
0.6459252,251,20.075817
0.25023493,251,20.075846
2.7344742,251,20.075902
1.7927878,251,20.075935
-0.75034714,251,20.075966
2.6230319,251,20.075995
-0.04009066,251,20.076022
2.0736666,251,20.076052
1.8788371,251,20.076082
1.0938836,251,20.07611
1.6602508,251,20.076139
2.6595242,251,20.076166
0.79608494,251,23.072202
3.8279223,251,23.072437
-0.45754135,251,23.072476
-0.47543168,251,23.07251
0.37759385,251,23.072538
1.9146253,251,23.072567
2.1059153,251,23.072596
-1.2358961,251,23.072623
1.5183198,251,23.072655
1.7231596,251,23.072686
3.023875,251,23.072716
-0.8772532,251,23.072746
2.4841397,251,23.072773
0.96300477,251,23.072801
2.831256,251,23.07283
1.1489892,251,23.072858
1.0441213,251,26.371206
2.0454535,251,26.371415
2.8073945,251,26.371445
-1.8839991,251,26.371468
0.8458758,251,26.371491
-2.6536744,251,26.371513
1.5851294,251,26.37154
2.2782497,251,26.371564
-1.2933159,251,26.371592
1.7014376,251,26.371617
3.2603521,251,26.371642
2.0731857,251,26.371665
-0.4091433,251,26.371687
0.48396182,251,26.371713
0.61234456,251,26.371736
3.014586,251,26.371758
0.988313,251,29.251609
-1.5626688,251,29.251902
1.2711849,251,29.251946
2.1789038,251,29.251979
0.44087926,251,29.252013
0.5093047,251,29.252049
0.6157543,251,29.252082
3.6205316,251,29.252116
2.551668,251,29.252158
2.2383108,251,29.252195
1.1076554,251,29.25223
0.5817963,251,29.252263
1.6857868,251,29.252298
2.3354588,251,29.25233
0.8742016,251,29.252363
1.5545619,251,29.252397
-1.263949,251,32.959868
0.51148903,251,32.960167
3.1613364,251,32.96021
-0.94633967,251,32.960244
-0.5586485,251,32.960276
1.5384822,251,32.960304
3.159482,251,32.960332
1.4891185,251,32.960359
0.6890075,251,32.960391
2.2880476,251,32.960418
-1.6414745,251,32.960445
-1.9334127,251,32.960473
3.4061456,251,32.9605
-0.43793213,251,32.960527
1.7488296,251,32.960557
2.6076915,251,32.960584
0.07124877,251,35.782619
-2.016976,251,35.782815
0.7967387,251,35.782858
0.24974966,251,35.782875
2.3266988,251,35.782892
2.4879477,251,35.782908
-0.069547236,251,35.782924
-0.0077556516,251,35.782941
3.66658,251,35.782961
4.5470676,251,35.782977
1.8859549,251,35.782994
3.2815988,251,35.78301
2.012047,251,35.783027
-0.6638391,251,35.783041
3.174676,251,35.783057
1.4301108,251,35.783073
-0.82259595,251,39.471962
0.89842844,251,39.472135
0.9111458,251,39.472162
2.8595743,251,39.472178
1.3667165,251,39.472193
-1.2855452,251,39.472208
2.8931103,251,39.472223
1.8339219,251,39.472237
-1.662273,251,39.472255
-0.2626223,251,39.47227
0.08980744,251,39.472286
1.8600249,251,39.472302
-0.86216974,251,39.472318
3.2279224,251,39.472333
1.4870127,251,39.472347
0.4978727,251,39.472363
3.3095236,251,42.343829
-1.1870084,251,42.344111
1.265818,251,42.344145
0.072000265,251,42.34417
2.4999073,251,42.344196
1.183335,251,42.344219
1.492864,251,42.344242
-0.5774487,251,42.344265
1.3661895,251,42.344293
0.35292175,251,42.344316
2.0076754,251,42.34434
-0.0410526,251,42.344366
0.35518944,251,42.344392
0.13476396,251,42.344416
1.1685561,251,42.344439
1.1550082,251,42.344465
0.8288109,251,45.767597
0.6846412,251,45.767786
-1.8047104,251,45.76781
0.8323443,251,45.767832
1.7660795,251,45.767851
1.1546805,251,45.76787
2.6098356,251,45.767931
2.7544696,251,45.767956
0.37353817,251,45.767978
0.5421564,251,45.768
-0.4597955,251,45.768019
-1.9097635,251,45.76804
-0.57011765,251,45.768059
3.8476884,251,45.768079
1.792943,251,45.768098
1.9300272,251,45.768117
0.051206116,251,48.480309
0.6082084,251,48.480685
1.6300086,251,48.480715
2.166709,251,48.480739
3.902743,251,48.480762
2.2858787,251,48.480784
1.1180718,251,48.480806
0.6132057,251,48.480827
3.129096,251,48.480852
4.4308443,251,48.480873
1.1189641,251,48.480895
2.418131,251,48.480917
1.7074956,251,48.480939
1.2220061,251,48.48096
-0.17210281,251,48.480981
-1.19708,251,48.481003
1.5317289,251,52.181313
-0.6730207,251,52.181657
-1.2253288,251,52.181697
2.1779177,251,52.181729
-0.5153521,251,52.181757
-0.36482757,251,52.181785
1.7147539,251,52.181817
0.5594608,251,52.181844
-0.9934376,251,52.181877
1.6372828,251,52.181906
-0.21237753,251,52.181935
3.2676919,251,52.181963
-0.4055576,251,52.18199
1.0034279,251,52.182021
2.5116935,251,52.182049
2.9006784,251,52.182079
-0.20206672,251,54.989527
-0.24889384,251,54.989753
-0.024590326,251,54.989789
0.97462875,251,54.989817
0.7499162,251,54.989843
0.9694866,251,54.989868
0.58423936,251,54.989894
2.067957,251,54.989921
3.1577792,251,54.989952
1.4098165,251,54.989978
1.2231406,251,54.990004
1.3491037,251,54.99003
0.6383831,251,54.990057
-1.2351787,251,54.990082
0.7476594,251,54.990111
3.2802453,251,54.99014
-1.2816361,251,58.900017
0.792536,251,58.900267
4.39754,251,58.900289
0.77118665,251,58.900308
1.9906753,251,58.900324
2.751241,251,58.900337
1.5190756,251,58.900351
2.0021574,251,58.900363
1.2736263,251,58.900378
0.12869456,251,58.900393
3.6767788,251,58.90041
1.7117267,251,58.900423
1.7066356,251,58.900438
2.137431,251,58.90045
-1.397139,251,58.900465
1.1570891,251,58.900479
0.705254,251,62.094896
2.2620971,251,62.095223
-0.15505706,251,62.095271
1.322897,251,62.095311
2.543821,251,62.095341
1.6705364,251,62.095369
1.6576967,251,62.095397
0.65901726,251,62.095427
1.8653847,251,62.095467
2.0455122,251,62.095499
2.6427093,251,62.09553
1.4431212,251,62.095565
1.8575482,251,62.095599
0.6925166,251,62.095629
0.117727265,251,62.095657
-1.1025944,251,62.095693
0.1446168,251,65.200709
-0.034346372,251,65.201163
1.8015275,251,65.201191
2.2107694,251,65.201209
4.505486,251,65.201226
3.4786084,251,65.201242
-0.47939804,251,65.201258
-2.4310255,251,65.201274
0.59901816,251,65.201303
-2.1156044,251,65.201321
0.67869365,251,65.201339
1.7655786,251,65.201355
3.7539806,251,65.201372
2.5883133,251,65.201388
1.8583865,251,65.201409
2.4298837,251,65.201431
0.059469,251,68.504882
0.8458706,251,68.505136
1.4765838,251,68.505175
2.8669255,251,68.505206
2.158848,251,68.505235
0.78093,251,68.505286
-0.4929851,251,68.505315
1.5961486,251,68.505343
-1.808461,251,68.505374
0.1010529,251,68.505401
-1.0415994,251,68.505433
1.4704119,251,68.505462
2.2211215,251,68.50549
-0.10401655,251,68.505518
-0.39196658,251,68.505547
1.0253581,251,68.505576
0.036923278,251,71.689527
4.864968,251,71.689906
1.5369816,251,71.689929
-1.581842,251,71.689945
-0.54008716,251,71.689961
-1.1493037,251,71.689976
-0.58022255,251,71.689993
2.2920997,251,71.690008
-3.514009,251,71.690033
0.6564873,251,71.690048
-1.6671243,251,71.690063
1.6833279,251,71.69008
2.5343335,251,71.690096
1.5991777,251,71.69011
2.8008416,251,71.690124
-0.11696741,251,71.690141
-1.6762286,251,75.112221
-0.3951649,251,75.112431
2.7460337,251,75.11246
-1.181229,251,75.112482
1.518998,251,75.112503
1.8605279,251,75.112523
0.034755614,251,75.112541
0.17626865,251,75.112561
-1.0182239,251,75.112583
3.4437435,251,75.112605
-0.47526532,251,75.112623
-2.1810825,251,75.112644
0.8616414,251,75.112663
-0.93149644,251,75.112683
0.32615152,251,75.112704
0.39065182,251,75.112725
1.6649599,251,78.15053
4.345356,251,78.150762
0.083539605,251,78.150804
0.62387794,251,78.150839
0.7408434,251,78.150868
0.56218725,251,78.150897
0.37534025,251,78.150929
2.4884906,251,78.150956
-0.46158153,251,78.150989
0.3310199,251,78.151017
1.5117946,251,78.151044
1.6253376,251,78.151073
-0.3121934,251,78.151101
2.691746,251,78.151127
1.2287642,251,78.151155
1.765446,251,78.151208
2.194376,251,81.504913
1.1941967,251,81.505088
3.1500125,251,81.505118
4.008635,251,81.505142
2.9926844,251,81.505165
2.8156054,251,81.505187
2.8075678,251,81.505209
1.1404763,251,81.505234
2.444985,251,81.505262
-0.70599747,251,81.505285
3.1273577,251,81.505309
1.4981575,251,81.505332
2.9610608,251,81.505356
1.6226978,251,81.505381
0.7676701,251,81.505403
0.21338783,251,81.505428
2.7094896,251,85.067125
-0.3081421,251,85.067424
2.9435828,251,85.067461
1.1576552,251,85.06749
1.5207365,251,85.067516
-1.131671,251,85.067538
0.18367888,251,85.067559
0.69847304,251,85.067583
-3.394321,251,85.067611
0.777525,251,85.067634
1.2977316,251,85.067657
2.233381,251,85.067677
1.6211169,251,85.067702
0.19675481,251,85.067727
-1.9683744,251,85.067752
1.7928724,251,85.067777
0.42530963,251,87.995809
1.984699,251,87.996443
1.6281846,251,87.996482
0.6533167,251,87.996516
1.9714893,251,87.996543
0.6018795,251,87.996569
2.8008494,251,87.996593
1.8977164,251,87.996619
0.6201691,251,87.996684
0.71535516,251,87.99671
0.57146704,251,87.996736
0.9126091,251,87.996763
1.8000535,251,87.996786
0.98081857,251,87.996813
1.4260812,251,87.996837
1.9747869,251,87.996877
1.3290089,251,91.538095
1.7168641,251,91.538354
0.25298485,251,91.538393
4.147385,251,91.538427
3.2404,251,91.538457
-1.7874264,251,91.538486
2.330452,251,91.538515
3.3006067,251,91.538551
-0.6078649,251,91.538586
0.25194192,251,91.538616
0.37764755,251,91.538644
-1.827018,251,91.538674
-1.2225271,251,91.538703
3.9786303,251,91.538733
1.6413196,251,91.53876
0.3469126,251,91.538793
2.1120343,251,94.449076
1.6259702,251,94.449619
1.3801714,251,94.44966
1.9756317,251,94.449694
