#{"t_start": 1751672309.265797, "env_id": null}
r,l,t
2.0870676,251,8.843491
0.8748314,251,8.843877
2.0549672,251,8.843926
2.1255815,251,8.843961
2.1370397,251,8.843998
0.5599631,251,8.844034
2.209376,251,8.844069
1.170308,251,8.844099
0.5648472,251,8.844126
1.9620353,251,8.844153
1.5485146,251,8.844194
0.9165189,251,8.84422
0.67572284,251,8.844249
2.0693817,251,8.844276
0.60128707,251,8.844306
1.827078,251,8.844337
1.3729992,251,16.403743
1.6245953,251,16.403966
1.5923619,251,16.404
0.37310392,251,16.404025
0.9038092,251,16.404064
2.0548427,251,16.404088
0.75862426,251,16.40411
0.5571341,251,16.404134
2.1363733,251,16.404157
2.1866596,251,16.404178
2.1240058,251,16.404214
1.9445196,251,16.404238
0.53850806,251,16.40426
2.0729969,251,16.404283
0.60469335,251,16.404309
0.9070877,251,16.404337
1.4079123,251,24.542725
2.094498,251,24.543396
1.8810605,251,24.543644
1.6023921,251,24.543888
1.6005646,251,24.544133
1.1160313,251,24.544379
0.20236811,251,24.544675
1.2463729,251,24.544919
2.1524944,251,24.545154
2.1069176,251,24.545396
1.9779724,251,24.545654
1.3834627,251,24.545902
0.9695465,251,24.546139
0.50546575,251,24.546354
2.1097574,251,24.546489
0.7165819,251,24.546605
2.107002,251,32.40872
2.0220542,251,32.409274
1.9994471,251,32.409444
0.6571121,251,32.409493
2.0390244,251,32.409524
1.2938136,251,32.40955
1.0987271,251,32.409578
2.028927,251,32.409605
0.49424404,251,32.409633
1.918438,251,32.409666
0.20229799,251,32.409722
2.0644696,251,32.409751
2.0340426,251,32.409779
2.1947522,251,32.409808
0.816656,251,32.409844
2.0615437,251,32.409878
1.4070891,251,39.567756
1.9466287,251,39.568038
2.0998564,251,39.568086
0.77574766,251,39.568133
2.066002,251,39.568175
1.8957915,251,39.568217
1.7250187,251,39.568261
0.40808755,251,39.568304
1.6015489,251,39.568349
1.7641966,251,39.568391
1.416367,251,39.568479
1.5978816,251,39.568524
1.7392448,251,39.568568
0.83089185,251,39.568631
1.5449554,251,39.568674
1.8668598,251,39.568718
2.0427814,251,47.167531
0.65164346,251,47.16801
0.54112214,251,47.168174
1.4032278,251,47.168338
2.135911,251,47.168513
1.4296589,251,47.168729
2.0056322,251,47.168891
2.1156957,251,47.169056
2.0005987,251,47.169215
2.0360703,251,47.169366
2.1130762,251,47.169529
1.8204439,251,47.1697
1.9344947,251,47.169775
1.1958239,251,47.169813
1.0400951,251,47.169846
1.1909964,251,47.169874
1.6137983,251,55.096691
1.7787877,251,55.096993
2.0064347,251,55.097037
1.4593192,251,55.09707
2.0508585,251,55.097097
0.6731272,251,55.097124
1.8092322,251,55.097157
1.6614966,251,55.0972
0.4769009,251,55.097241
1.9026837,251,55.097298
1.458917,251,55.097335
1.9762317,251,55.097363
2.0980315,251,55.09739
1.2124988,251,55.097416
1.3833662,251,55.097446
2.1230316,251,55.097474
0.72350746,251,62.350817
1.9703459,251,62.351069
2.0414264,251,62.351109
1.7158395,251,62.351144
1.6619757,251,62.351178
1.7997806,251,62.351208
0.7104715,251,62.351239
0.7320324,251,62.35127
1.990902,251,62.3513
1.159237,251,62.351336
1.9560388,251,62.351398
2.1058311,251,62.351432
1.8027582,251,62.351462
1.5476933,251,62.351494
2.1584518,251,62.351526
2.0553055,251,62.351557
1.7501851,251,70.620088
2.0265276,251,70.620372
