#{"t_start": 1751672223.5194674, "env_id": null}
r,l,t
0.5546988,251,5.541347
1.0239638,251,5.541631
1.6875966,251,5.541677
1.8215051,251,5.541712
0.5477766,251,5.541744
1.3049898,251,5.541775
1.2177353,251,5.541805
1.7323267,251,5.541836
2.2706158,251,5.541875
1.0859284,251,5.541908
1.4743353,251,5.54194
2.2913373,251,5.541972
1.926782,251,5.542006
1.0202616,251,5.542038
0.0890691,251,5.54207
2.2711506,251,5.542103
1.0551679,251,11.357855
2.2248788,251,11.358176
1.8461809,251,11.358225
1.3022466,251,11.358271
1.3089473,251,11.358309
1.0752479,251,11.358352
0.9631901,251,11.358389
1.8780268,251,11.358423
0.8243503,251,11.358455
0.49378768,251,11.358487
1.8086072,251,11.358521
1.7639735,251,11.358552
1.45837,251,11.358579
1.9255269,251,11.358604
1.1011341,251,11.358634
1.3558784,251,11.35866
1.7481359,251,17.206552
1.4456732,251,17.206867
1.2385089,251,17.206906
1.2146058,251,17.206937
0.9566684,251,17.206966
2.7202287,251,17.207023
2.1743429,251,17.207059
1.5029322,251,17.207088
1.335885,251,17.207117
0.8863982,251,17.207148
0.92422664,251,17.207175
1.6545515,251,17.207201
1.1043535,251,17.207243
0.8921196,251,17.207285
0.7953607,251,17.207313
1.125346,251,17.207341
1.0674658,251,22.795293
1.4027207,251,22.795581
2.303582,251,22.795622
1.260352,251,22.795647
1.1435854,251,22.795667
0.85430753,251,22.795689
0.85463685,251,22.795712
1.4968586,251,22.795734
1.3042146,251,22.795754
1.352638,251,22.795785
0.4787808,251,22.795808
0.9405496,251,22.79583
2.1480923,251,22.795851
0.6626691,251,22.795872
1.4820896,251,22.795894
1.6507177,251,22.795919
1.6930195,251,28.195169
1.8232986,251,28.195498
1.834762,251,28.195545
1.3200344,251,28.195579
1.5754442,251,28.195606
1.1930394,251,28.195632
0.17448819,251,28.19566
2.0720685,251,28.195703
1.2132201,251,28.195733
1.2434406,251,28.195771
1.571866,251,28.195801
2.4465632,251,28.19583
1.0780369,251,28.195859
1.0304224,251,28.195887
1.4780265,251,28.19592
2.0645425,251,28.195952
1.8508403,251,34.560605
2.1519496,251,34.56089
2.2678857,251,34.560926
1.0842255,251,34.560952
1.4273379,251,34.560979
1.1732922,251,34.561005
2.188586,251,34.56103
1.0679072,251,34.561058
1.5428425,251,34.561086
-0.30439913,251,34.561111
1.1758147,251,34.561143
1.702749,251,34.561172
1.0454173,251,34.561203
3.049184,251,34.561231
2.3141322,251,34.561263
0.14653814,251,34.561294
1.7954884,251,40.392152
0.78214926,251,40.392402
0.8836822,251,40.392444
1.2735171,251,40.392474
1.0090189,251,40.392502
1.4807582,251,40.392529
0.67576224,251,40.392556
0.59483033,251,40.392581
1.3995485,251,40.392612
1.0324894,251,40.39264
1.1427598,251,40.392681
1.3376708,251,40.392708
0.50560486,251,40.392735
1.8049552,251,40.39276
2.2472146,251,40.392786
1.3784323,251,40.39281
2.271312,251,45.324
0.9480007,251,45.324389
1.682448,251,45.324433
1.8325636,251,45.324467
2.9075122,251,45.324499
0.20328195,251,45.324529
2.0002337,251,45.324572
1.3631014,251,45.324603
1.3724513,251,45.324638
1.2697191,251,45.324667
1.5760555,251,45.324698
1.9803252,251,45.324727
1.470406,251,45.324757
1.4657146,251,45.324786
1.8833066,251,45.324815
1.4098475,251,45.324844
1.1095124,251,50.270742
2.4120157,251,50.271294
1.8778257,251,50.271327
1.7332557,251,50.271352
1.257865,251,50.271375
1.8814213,251,50.271398
0.97265977,251,50.271419
2.1452847,251,50.271443
1.3579473,251,50.271467
1.8075906,251,50.27149
0.4976515,251,50.271513
1.1938818,251,50.271538
1.6187263,251,50.271563
2.5653265,251,50.271586
1.5746311,251,50.27161
1.6865865,251,50.271633
1.7903504,251,56.919199
1.335301,251,56.919587
1.6783166,251,56.919636
1.2829508,251,56.919664
1.7745428,251,56.919691
1.8577787,251,56.919715
1.315418,251,56.919738
1.6777724,251,56.919762
2.5666015,251,56.919787
1.8622531,251,56.919811
2.2677903,251,56.919836
1.6121826,251,56.91986
2.2609434,251,56.919886
2.0952182,251,56.919908
2.310257,251,56.919934
0.9001933,251,56.91996
2.3773544,251,63.12351
2.5292943,251,63.123947
1.0031735,251,63.123992
1.8627353,251,63.124025
1.2475842,251,63.124084
1.1307571,251,63.12412
1.6813072,251,63.124155
0.5362703,251,63.124188
0.7328923,251,63.124235
1.4411422,251,63.12427
1.4925753,251,63.124304
-0.80496943,251,63.124339
1.3326577,251,63.124373
2.6612213,251,63.124407
1.3037589,251,63.124443
1.5855582,251,63.12448
2.5486574,251,68.32402
2.1531537,251,68.324312
1.1295431,251,68.32436
1.5147963,251,68.324395
2.8367429,251,68.324425
1.9847331,251,68.324458
0.46398538,251,68.32449
1.5490187,251,68.324524
1.6143546,251,68.324558
1.4301872,251,68.324589
1.5341258,251,68.32462
1.3243307,251,68.324658
0.82767427,251,68.32469
1.5831951,251,68.324722
2.474373,251,68.324755
1.2677801,251,68.324788
0.962969,251,73.033005
1.4987997,251,73.033289
1.5176771,251,73.033336
-0.05448694,251,73.033373
2.2134326,251,73.033413
1.499204,251,73.033448
1.471588,251,73.033481
1.4710176,251,73.033515
0.8014967,251,73.033549
1.9346993,251,73.033584
2.289418,251,73.033618
0.54722357,251,73.033654
1.0338914,251,73.033688
1.4305755,251,73.033721
0.87807137,251,73.033754
0.7555194,251,73.033789
1.4893521,251,79.484011
1.9955049,251,79.484412
1.047381,251,79.484449
2.7381403,251,79.484476
1.4633479,251,79.484504
1.2224466,251,79.484531
1.406446,251,79.484554
0.71083516,251,79.484579
0.62491316,251,79.484604
1.2721833,251,79.484626
0.9586072,251,79.484652
2.2353635,251,79.484675
1.8730116,251,79.484699
2.0404685,251,79.484723
2.3671389,251,79.484746
1.5435379,251,79.484768
1.6476306,251,87.095909
1.5249631,251,87.096624
0.561907,251,87.096817
1.3407978,251,87.097004
1.5280352,251,87.097198
1.6783001,251,87.097391
1.1219419,251,87.097557
1.1329991,251,87.097736
1.0751582,251,87.097907
1.5167081,251,87.098075
0.2708455,251,87.098137
1.3778129,251,87.098183
1.4789784,251,87.098222
1.963325,251,87.09826
1.4017577,251,87.098303
0.95415115,251,87.098341
0.96424454,251,94.062012
0.975423,251,94.06255
2.054824,251,94.062594
1.0528741,251,94.062631
2.7069917,251,94.062661
2.4236076,251,94.062691
0.87096393,251,94.062719
1.0669403,251,94.062748
1.8820782,251,94.062846
1.0416371,251,94.062875
1.1267009,251,94.062904
1.0686659,251,94.062932
0.41707262,251,94.062961
0.69138235,251,94.062993
2.3595555,251,94.063022
1.5361205,251,94.06305
2.060775,251,101.715498
0.54362464,251,101.715807
1.2198042,251,101.715843
1.695011,251,101.715868
1.6973296,251,101.715894
1.0796418,251,101.715919
0.9380262,251,101.715945
1.1154352,251,101.715971
1.8167284,251,101.716
1.9556121,251,101.716032
1.1412761,251,101.716063
2.3001468,251,101.716091
1.9483985,251,101.716118
1.5369298,251,101.716143
1.6488042,251,101.716166
0.54283357,251,101.716189
1.3168405,251,109.499868
-0.06248407,251,109.50006
1.2704037,251,109.500091
2.6044788,251,109.500114
2.182935,251,109.500135
1.9727104,251,109.500155
1.924763,251,109.500177
1.0469053,251,109.500199
2.1747482,251,109.50022
0.881009,251,109.500243
1.3759408,251,109.500265
0.9262741,251,109.500286
1.7167546,251,109.500306
1.5107738,251,109.500331
1.0505468,251,109.500353
2.3554664,251,109.500373
1.6529734,251,117.146605
1.2823056,251,117.146874
1.7674922,251,117.146907
0.8080241,251,117.146935
1.0083537,251,117.146957
1.1115088,251,117.146984
1.5992011,251,117.147007
1.2086678,251,117.147051
1.6777793,251,117.147077
1.1752397,251,117.147113
0.95709014,251,117.147155
1.2401597,251,117.147196
2.155536,251,117.147239
3.0444682,251,117.147281
1.5543631,251,117.147324
0.69017124,251,117.147365
0.89507324,251,124.409208
0.58705497,251,124.409466
1.6118072,251,124.409502
2.0334065,251,124.409536
0.99296665,251,124.409567
1.1689942,251,124.409595
1.0351214,251,124.409624
1.3042738,251,124.409652
0.9610005,251,124.409681
0.91310865,251,124.40971
1.2390577,251,124.409738
1.7242723,251,124.409776
0.8356872,251,124.409804
1.3784397,251,124.409833
2.0991857,251,124.409862
1.3910598,251,124.409892
1.4399422,251,131.939816
2.0079358,251,131.940011
1.1881825,251,131.940038
2.2874088,251,131.94006
1.1745621,251,131.94008
1.3383925,251,131.940118
3.2946894,251,131.940143
1.5562695,251,131.940169
2.0090177,251,131.940191
1.1620528,251,131.940213
2.2501237,251,131.940234
2.0403998,251,131.940256
0.8829984,251,131.940275
1.8178412,251,131.940297
1.2545741,251,131.940319
1.6884272,251,131.940339
0.737881,251,139.660484
2.2064977,251,139.660704
1.9149642,251,139.660738
1.4318717,251,139.660762
1.1031768,251,139.660783
2.0753,251,139.660805
1.5615796,251,139.660829
1.3886664,251,139.660852
2.2949624,251,139.660874
2.08676,251,139.660897
1.3588556,251,139.660919
0.7028541,251,139.660942
0.83279246,251,139.660964
2.9787123,251,139.660988
1.397365,251,139.661011
2.450277,251,139.661034
1.8235953,251,147.123118
1.7668954,251,147.123353
1.3969963,251,147.12338
1.2363291,251,147.123402
1.5084734,251,147.123422
1.770564,251,147.123447
1.2400167,251,147.12347
1.7652804,251,147.123492
1.2972417,251,147.123513
1.178632,251,147.123534
1.5524205,251,147.123555
1.6923295,251,147.123576
0.92725533,251,147.123597
1.7549073,251,147.123618
1.6371127,251,147.123639
1.396935,251,147.123659
1.4434758,251,155.413582
0.959572,251,155.413872
1.8998123,251,155.413921
2.7916727,251,155.413962
1.3413998,251,155.414001
2.0800855,251,155.414037
1.8566839,251,155.414073
0.9525502,251,155.414109
1.7759545,251,155.414145
0.35398775,251,155.414183
1.441923,251,155.414225
2.4596512,251,155.414262
2.5330482,251,155.414297
2.0070205,251,155.414333
1.56278,251,155.41437
2.394828,251,155.414405
0.93912137,251,163.239244
1.4004965,251,163.239421
1.0476457,251,163.239449
1.4060395,251,163.23947
0.97339755,251,163.239491
1.5433005,251,163.239512
2.0192869,251,163.239533
2.4939528,251,163.239554
1.3106863,251,163.239575
0.9693192,251,163.239595
0.7817224,251,163.239616
0.67390114,251,163.239638
2.2861423,251,163.239659
1.909408,251,163.239682
1.500043,251,163.239703
2.3728209,251,163.239724
1.1314574,251,170.616765
2.2581348,251,170.617038
1.5216178,251,170.61708
1.4303617,251,170.617113
2.3388674,251,170.617145
2.0041182,251,170.617176
1.4681886,251,170.617206
1.7509166,251,170.617241
1.2999346,251,170.617271
0.847208,251,170.617304
2.3016124,251,170.617332
1.0706823,251,170.617363
1.1610843,251,170.617393
0.9453606,251,170.617423
2.3703628,251,170.617452
1.5318857,251,170.617481
0.84928876,251,178.551546
1.3308716,251,178.552279
2.5870304,251,178.552446
1.2918977,251,178.552604
1.2669955,251,178.552743
1.309926,251,178.552877
0.65987843,251,178.553032
1.6872787,251,178.553246
1.2403634,251,178.553425
0.8540394,251,178.5536
1.1455206,251,178.553775
2.4146566,251,178.553953
2.407093,251,178.554148
1.1503454,251,178.554348
1.3563564,251,178.554433
1.5012447,251,178.554486
1.630092,251,186.550326
1.7794514,251,186.550572
1.0134197,251,186.550603
0.9628352,251,186.550627
1.2343429,251,186.550649
0.8751786,251,186.550673
1.102996,251,186.550694
1.0308969,251,186.550718
2.103597,251,186.550739
1.4976602,251,186.550812
1.3562676,251,186.550864
1.7101557,251,186.550889
2.0684242,251,186.55091
-0.1318826,251,186.550943
1.3077998,251,186.551138
0.86298347,251,186.551231
1.8806728,251,194.489792
0.33038092,251,194.490068
1.3821831,251,194.490104
0.9500317,251,194.490132
1.1502275,251,194.490153
1.0764256,251,194.490177
0.5706328,251,194.4902
2.5287163,251,194.490226
1.839964,251,194.490249
2.1057067,251,194.490273
0.8589441,251,194.490297
1.1593969,251,194.49032
1.465553,251,194.490346
0.9742906,251,194.490368
1.216931,251,194.49039
1.4801047,251,194.490411
2.018663,251,202.603298
1.1845154,251,202.603676
1.0075312,251,202.603726
0.39900702,251,202.60376
1.295629,251,202.603791
1.6369027,251,202.603811
0.8220233,251,202.603835
0.78634804,251,202.603862
1.4473763,251,202.603885
2.059838,251,202.603904
1.4095348,251,202.603928
1.4129646,251,202.603949
0.9307601,251,202.60397
1.390541,251,202.60399
1.3063631,251,202.604009
1.0356766,251,202.60403
0.88887763,251,210.287963
2.23078,251,210.288295
1.364136,251,210.288347
1.0343738,251,210.288382
0.5370172,251,210.288444
1.4960532,251,210.288484
1.6706805,251,210.288519
1.9464422,251,210.288553
1.7520375,251,210.288585
2.2580893,251,210.288615
1.3718194,251,210.288651
2.9147468,251,210.288687
0.8547658,251,210.288723
2.3039112,251,210.288758
1.1599709,251,210.288793
1.1515528,251,210.288823
1.4631101,251,217.830011
1.1483483,251,217.830258
1.1692154,251,217.830284
1.6117781,251,217.830305
1.11851,251,217.830324
1.1421901,251,217.830343
0.77006197,251,217.830362
2.0868511,251,217.830385
2.510204,251,217.830406
2.2465336,251,217.830434
1.8053739,251,217.830456
1.3293855,251,217.830476
2.0614564,251,217.830497
1.646875,251,217.830518
1.0587411,251,217.830537
0.9549017,251,217.830557
2.743365,251,225.925099
0.9446343,251,225.925439
1.3417925,251,225.925471
1.1440209,251,225.925497
1.6034518,251,225.92552
0.4332829,251,225.925543
2.4875603,251,225.925567
1.6064632,251,225.925593
1.3870417,251,225.925615
1.3000371,251,225.925636
1.261835,251,225.925658
0.9399615,251,225.92568
1.1859441,251,225.925702
0.9657554,251,225.925723
0.8408007,251,225.925744
2.2120445,251,225.925764
1.6074411,251,233.686422
2.3772757,251,233.687139
1.4728599,251,233.687327
1.6448727,251,233.687462
1.8774714,251,233.687599
1.2335846,251,233.687634
0.9840895,251,233.687665
1.023008,251,233.687698
1.4562413,251,233.687727
1.5982797,251,233.687754
2.3186092,251,233.687782
1.7059765,251,233.687807
0.9955164,251,233.687835
2.6494024,251,233.687863
1.4573847,251,233.687892
1.9770788,251,233.687919
2.0918148,251,240.990971
1.1431477,251,240.991281
1.4652295,251,240.991319
0.8674858,251,240.99135
0.85610807,251,240.991379
2.382741,251,240.991409
1.8410211,251,240.99144
1.197551,251,240.99147
2.2097561,251,240.991502
1.1403869,251,240.99153
2.6020405,251,240.99156
2.022302,251,240.991589
0.9298893,251,240.991619
1.9945575,251,240.991647
1.2179366,251,240.991676
2.428193,251,240.991707
1.0066574,251,248.690753
1.1174372,251,248.691095
0.8805479,251,248.691134
2.0130062,251,248.691165
1.7916173,251,248.691194
1.3132147,251,248.691224
0.85563374,251,248.691254
0.9555756,251,248.691288
1.1238389,251,248.691319
2.4952774,251,248.691349
1.7722217,251,248.691379
2.1510787,251,248.691407
1.8706666,251,248.691438
2.9711194,251,248.691468
0.9751128,251,248.691497
1.4061327,251,248.691527
2.0123734,251,256.131868
1.0788153,251,256.132238
1.3420691,251,256.132267
1.0787224,251,256.132292
1.1228528,251,256.132314
1.8669375,251,256.132335
2.0971706,251,256.132357
1.5119644,251,256.132392
1.2561208,251,256.132415
1.9810376,251,256.132436
1.4731605,251,256.132458
