#{"t_start": 1751998947.6796632, "env_id": null}
r,l,t
1.7002301,251,5.642678
1.7229446,251,5.642902
2.3817794,251,5.642937
3.2725332,251,5.642965
1.922316,251,5.642989
2.1937594,251,5.643014
1.6635067,251,5.64304
0.42674845,251,5.643065
1.4182882,251,5.643093
1.1991168,251,5.643121
2.9600153,251,5.643146
1.0840385,251,5.64317
2.877213,251,5.643195
0.9155216,251,5.643221
2.1272917,251,5.643247
-1.0073109,251,5.643273
2.5660698,251,8.564267
1.4984311,251,8.564411
2.838947,251,8.564441
1.3302419,251,8.564466
1.913553,251,8.564489
2.0858147,251,8.564511
0.13732412,251,8.564532
1.3395902,251,8.564554
1.4833603,251,8.564576
1.960656,251,8.564598
1.5467895,251,8.56462
1.47865,251,8.564642
0.08212954,251,8.564663
2.077683,251,8.564686
1.7637155,251,8.564708
3.1259928,251,8.564729
1.4428048,251,11.70527
2.9371505,251,11.705541
0.8487843,251,11.705578
2.4390655,251,11.705607
3.0850134,251,11.705635
2.303935,251,11.70567
1.374353,251,11.705699
0.06574019,251,11.705726
0.5453911,251,11.705755
0.74016166,251,11.705783
0.36504677,251,11.705811
1.902481,251,11.705838
1.5578363,251,11.705865
1.4441088,251,11.705896
1.9703821,251,11.705922
0.036570486,251,11.705949
3.3728921,251,14.680238
2.471947,251,14.680518
2.5310695,251,14.680544
0.7012198,251,14.680564
2.8736386,251,14.680582
0.15674646,251,14.680609
2.289677,251,14.68063
1.6146408,251,14.680649
1.2557417,251,14.680667
2.5292287,251,14.680684
2.7259552,251,14.680702
2.387358,251,14.680721
2.3679984,251,14.680738
1.8844537,251,14.680757
2.0605507,251,14.680774
2.7359385,251,14.680791
2.3840125,251,17.80096
2.969598,251,17.801199
0.83770883,251,17.801239
1.8325531,251,17.801266
2.4653206,251,17.801292
2.1516244,251,17.801322
2.6665134,251,17.801349
2.9283094,251,17.801375
2.8206575,251,17.801402
2.4831066,251,17.801427
2.1941617,251,17.801457
0.6346537,251,17.801485
1.4631485,251,17.801511
0.5002894,251,17.801536
2.4183981,251,17.801562
1.9943222,251,17.801588
2.3134978,251,20.804724
1.0327206,251,20.805051
3.0178797,251,20.805101
0.58398885,251,20.805134
1.9062499,251,20.805164
2.6881003,251,20.8052
1.9988703,251,20.805231
2.2677143,251,20.805261
