#{"t_start": 1750536863.1811473, "env_id": null}
r,l,t
0.0,601,2.273603
0.0,601,15.630815
0.0,601,52.005272
0.0,601,88.171004
0.0,601,123.787153
0.0,601,159.351292
0.0,601,195.453015
0.0,601,231.350521
0.0,601,267.202146
0.0,601,302.85754
0.0,601,338.551689
0.0,601,373.828002
0.0,601,409.511858
0.0,601,444.999047
0.0,601,480.428567
0.0,601,515.928707
0.0,601,551.153824
0.0,601,586.644042
0.0,601,622.677539
0.0,601,657.280051
0.0,601,692.390017
0.0,601,728.050185
0.0,601,764.191341
0.0,601,799.350832
0.0,601,835.291272
0.0,601,871.581623
0.0,601,907.765964
0.0,601,944.649267
0.0,601,980.526118
0.0,601,1016.40727
0.0,601,1052.194091
0.0,601,1087.993317
0.0,601,1123.762195
0.0,601,1159.474701
0.0,601,1195.543501
0.0,601,1231.854997
0.0,601,1267.598947
0.0,601,1303.192613
0.0,601,1338.649207
0.0,601,1374.267929
0.0,601,1410.174689
0.0,601,1445.155277
0.0,601,1481.020434
0.0,601,1517.006866
0.0,601,1551.607081
0.0,601,1586.984214
0.0,601,1622.7346
0.0,601,1658.397724
0.0,601,1693.858632
0.0,601,1729.730467
0.0,601,1765.784074
0.0,601,1800.426098
0.0,601,1835.708492
0.0,601,1870.625207
0.0,601,1906.046839
0.0,601,1941.346428
0.0,601,1977.026282
0.0,601,2012.982116
0.0,601,2049.100353
0.0,601,2085.492269
0.0,601,2121.507252
0.0,601,2158.084054
0.0,601,2194.666491
0.0,601,2231.150485
0.0,601,2266.893928
0.0,601,2302.85629
0.0,601,2338.554299
0.0,601,2374.815735
0.0,601,2411.018905
0.0,601,2447.037702
0.0,601,2482.869134
0.0,601,2519.063897
0.0,601,2555.456056
0.0,601,2591.652217
0.0,601,2627.831764
0.0,601,2664.04744
0.0,601,2699.976293
0.0,601,2736.402433
0.0,601,2772.43162
0.0,601,2808.38376
0.0,601,2844.63263
0.0,601,2880.718108
0.0,601,2916.826884
0.0,601,2953.140782
0.0,601,2989.493359
0.0,601,3025.577216
0.0,601,3061.507401
0.0,601,3097.573915
0.0,601,3133.951418
0.0,601,3170.175721
0.0,601,3206.787609
0.0,601,3243.179776
0.0,601,3279.773437
0.0,601,3316.201483
0.0,601,3352.746229
0.0,601,3389.206666
0.0,601,3425.63233
0.0,601,3462.105704
0.0,601,3498.714361
0.0,601,3535.030241
0.0,601,3571.636598
0.0,601,3608.036208
0.0,601,3644.060529
0.0,601,3680.235857
0.0,601,3716.476927
0.0,601,3752.247189
0.0,601,3788.629885
0.0,601,3824.982526
0.0,601,3861.008405
0.0,601,3897.025917
0.0,601,3933.415187
0.0,601,3969.646672
0.0,601,4005.800204
0.0,601,4041.935574
0.0,601,4078.304944
0.0,601,4114.473073
0.0,601,4150.849855
0.0,601,4186.882547
0.0,601,4223.308414
0.0,601,4259.658333
0.0,601,4295.996835
0.0,601,4332.313843
0.0,601,4368.312882
0.0,601,4404.038865
0.0,601,4440.431789
0.0,601,4476.689698
0.0,601,4512.310191
0.0,601,4548.569254
0.0,601,4584.262876
0.0,601,4620.466361
0.0,601,4656.694068
0.0,601,4693.190068
0.0,601,4729.566759
0.0,601,4765.850503
0.0,601,4802.156928
0.0,601,4838.307753
0.0,601,4875.080814
0.0,601,4911.180507
0.0,601,4947.177052
0.0,601,4983.681552
0.0,601,5020.188124
0.0,601,5056.660432
0.0,601,5092.969308
0.0,601,5129.528733
0.0,601,5165.694148
0.0,601,5202.125279
0.0,601,5238.661412
0.0,601,5275.29162
0.0,601,5311.859125
0.0,601,5348.246151
0.0,601,5384.934147
0.0,601,5421.176829
0.0,601,5457.755052
0.0,601,5494.321833
0.0,601,5531.216606
0.0,601,5567.283887
0.0,601,5603.879144
0.0,601,5640.249048
0.0,601,5676.229978
0.0,601,5712.706024
0.0,601,5748.86419
0.0,601,5785.314249
0.0,601,5820.913402
0.0,601,5857.260495
0.0,601,5893.504727
0.0,601,5929.806329
0.0,601,5995.39387
0.0,601,6031.852069
0.0,601,6068.175604
0.0,601,6104.528645
0.0,601,6141.230683
0.0,601,6177.470013
0.0,601,6213.926878
0.0,601,6250.730932
0.0,601,6287.47114
0.0,601,6323.42224
0.0,601,6360.504923
0.0,601,6397.001333
0.0,601,6433.437643
0.0,601,6469.803504
0.0,601,6506.484397
0.0,601,6543.029484
0.0,601,6579.383815
0.0,601,6615.77442
0.0,601,6652.703616
0.0,601,6689.188564
0.0,601,6725.701885
0.0,601,6762.243196
0.0,601,6798.848102
0.0,601,6835.18334
0.0,601,6871.666684
0.0,601,6908.186802
0.0,601,6945.15733
0.0,601,6981.478699
0.0,601,7018.166589
0.0,601,7055.024244
0.0,601,7091.403295
0.0,601,7127.94159
0.0,601,7164.566258
0.0,601,7201.324506
0.0,601,7237.845698
0.0,601,7274.55357
0.0,601,7310.758101
0.0,601,7347.158274
0.0,601,7383.843311
0.0,601,7420.172931
0.0,601,7456.346274
0.0,601,7492.749599
