#{"t_start": 1750709050.7598479, "env_id": null}
r,l,t
0.0,1501,8.189825
0.0,1501,12.499298
0.0,1501,16.879206
0.0,1501,39.308524
0.0,1501,69.140283
0.0,1501,99.287887
0.0,1501,129.695671
0.0,1501,160.127625
0.0,1501,190.445635
0.0,1501,220.361539
0.0,1501,251.508045
0.0,1501,281.927969
0.0,1501,312.649451
0.0,1501,343.95958
0.0,1501,374.425169
0.0,1501,405.300434
0.0,1501,435.762615
0.0,1501,467.009987
0.0,1501,497.600663
0.0,1501,528.486706
0.0,1501,558.781193
0.0,1501,589.563781
0.0,1501,621.283141
0.0,1501,651.34394
0.0,1501,681.35937
0.0,1501,711.023747
0.0,1501,741.471659
0.0,1501,771.543325
0.0,1501,801.335078
0.0,1501,831.675317
0.0,1501,862.823972
0.0,1501,892.779994
0.0,1501,924.051385
0.0,1501,1033.032723
0.0,1501,1063.750626
0.0,1501,1094.125778
0.0,1501,1124.144318
0.0,1501,1154.94356
0.0,1501,1185.278769
0.0,1501,1215.720211
0.0,1501,1246.052419
0.0,1501,1275.564574
0.0,1501,1305.999817
0.0,1501,1336.520117
0.0,1501,1366.941819
0.0,1501,1397.357881
0.0,1501,1427.747159
0.0,1501,1459.438139
0.0,1501,1490.549832
0.0,1501,1520.847532
0.0,1501,1551.63295
0.0,1501,1582.388053
0.0,1501,1613.320185
0.0,1501,1643.888344
0.0,1501,1675.740151
0.0,1501,1707.161445
0.0,1501,1738.984242
0.0,1501,1769.721695
0.0,1501,1801.01934
0.0,1501,1831.958949
0.0,1501,1863.042468
0.0,1501,1894.816805
0.0,1501,1925.699153
0.0,1501,1956.979598
0.0,1501,1988.342957
0.0,1501,2019.531889
0.0,1501,2142.557576
0.0,1501,2173.405988
0.0,1501,2203.533177
0.0,1501,2234.186065
0.0,1501,2265.247775
0.0,1501,2295.355914
0.0,1501,2325.488378
0.0,1501,2355.7104
0.0,1501,2386.701458
0.0,1501,2417.325242
0.0,1501,2447.663054
0.0,1501,2478.542732
0.0,1501,2508.694786
0.0,1501,2538.806252
0.0,1501,2568.957519
0.0,1501,2599.672137
0.0,1501,2630.368429
0.0,1501,2661.08215
0.0,1501,2691.446787
0.0,1501,2722.349471
0.0,1501,2753.901839
0.0,1501,2785.754316
0.0,1501,2816.464193
0.0,1501,2846.772163
0.0,1501,2876.537336
0.0,1501,2906.818735
0.0,1501,2937.320678
0.0,1501,2967.584438
0.0,1501,2999.134013
0.0,1501,3030.530061
