#{"t_start": 1753223602.9928148, "env_id": null}
r,l,t
-0.9552708,501,1.112166
-0.2343377,501,2.21435
3.5562613,501,3.32519
-1.1002352,501,4.441382
-1.0259026,187,4.884593
-1.0192147,501,5.991237
-1.7798191,501,7.079782
0.5082518,501,8.142112
0.1287252,501,20.768993
3.1925838,501,21.875122
2.312095,501,22.969696
2.4429657,501,24.076467
-1.8965908,501,25.176633
-3.5426352,501,26.277697
2.1965957,501,27.375199
2.9277923,501,28.479687
3.5239148,501,40.959313
-1.7541735,501,42.050316
-3.0839076,501,43.224178
-1.0382302,501,44.311871
1.628244,501,45.396075
-1.5517578,501,46.46527
-0.8709121,29,46.578067
-0.3945407,501,47.639952
2.5418348,485,48.69624
-2.1337073,501,49.742357
3.1660285,501,62.272888
4.5275035,501,63.350791
1.1971769,501,64.462513
1.744705,501,65.555347
2.4916458,465,66.559546
0.68651867,501,67.659896
-2.337891,501,68.723788
-1.4161439,501,69.802358
1.8328513,501,82.077162
-3.456699,501,83.126001
-0.54337543,501,84.186305
1.7261243,186,84.619494
2.735572,501,85.72409
4.043029,501,86.818117
0.9251446,87,87.047788
0.22325,501,88.131446
-2.8376288,501,89.206473
0.5477625,53,89.368258
-0.23374777,109,89.65676
-2.4292686,501,102.185792
1.8077676,501,103.270441
2.7699883,501,104.377362
-2.2236135,501,105.463487
-2.4788795,501,106.536527
-1.3204267,501,107.623926
3.913306,501,108.703461
-0.10522068,501,109.770285
2.2642243,501,122.243086
0.94237643,501,123.337377
1.7253999,501,124.425217
-2.1170528,501,125.536194
-2.3698244,501,126.652178
1.4858676,501,127.760672
-1.5613923,501,128.859449
1.6146913,164,129.255486
0.1045887,501,130.298603
-0.60764444,501,142.878799
1.9813762,501,143.96615
0.6215387,44,144.107023
1.3951837,501,145.215588
-0.65636617,501,146.264971
0.63669217,501,147.385715
0.34132648,9,147.458514
-1.1500359,501,148.507697
1.7648222,501,149.624585
-2.10008,501,150.734575
1.4085412,501,163.342435
0.70751727,501,164.428893
0.5288738,501,165.518444
1.114288,501,166.629956
1.8819114,501,167.721103
4.644124,501,168.813977
-0.19314289,38,168.944117
-2.7324102,501,170.048138
1.158698,238,170.601533
-0.91653454,501,171.706742
-2.3507488,501,184.309232
-0.73481816,501,185.437762
-1.2386034,35,185.561803
0.08977988,501,186.6293
-2.6015997,501,187.692338
0.7457492,501,188.808975
-2.5328083,501,189.905324
-2.3459525,501,190.979344
1.6360823,67,191.16895
-0.62533784,501,192.296446
-2.371115,501,204.67466
-0.3665124,501,205.76191
2.4361165,501,206.860896
-0.55674237,501,207.924944
0.44589728,501,209.015203
-0.3490724,501,210.117383
3.9801624,501,211.237234
1.7800994,501,212.361646
-0.37256747,501,224.860366
-1.1106448,501,225.929837
-2.99975,501,227.055634
2.6096377,501,228.149926
1.2212023,501,229.2637
3.7989018,501,230.351116
-0.29860026,43,230.491755
2.7923355,501,231.606399
0.693815,501,232.663384
0.5227469,29,232.775316
2.4287572,501,245.190828
-0.5534848,37,245.319282
-0.8816059,501,246.422241
0.88575304,501,247.511847
0.3004304,501,248.601588
4.768977,435,249.559732
4.187713,501,250.647544
-0.8887704,501,251.747904
-0.4945804,501,252.854658
