time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,2,446,5103616,1,"friction",418.92,0.41970855,,,,,,,,,,,
29,2,274,5107712,2,"friction",408.81,0.4944391,0.06271002,-22.855096833904586,0.00025,0.5659434000651041,0.7856378853321075,0.2,-0.10441554448455766,-0.5731646418571472,3.0877723693847656,1365,0.020984484757354947
50,2,243,5111808,3,"friction",416.28,0.72028863,0.07099304,-23.011300044258437,0.00025,0.5910756429036458,0.7200068235397339,0.2,-0.10422277205410259,-0.5753668546676636,3.1264829635620117,1380,0.024333126924951407
71,2,228,5115904,4,"friction",382.47,0.7963303,0.06209653,-23.164184821645417,0.00025,0.6065500895182292,0.564905047416687,0.2,-0.11193105140822203,-0.5861380696296692,3.1978068351745605,1395,0.016576033003851385
92,2,221,5120000,5,"friction",368.05,0.8426345,0.082455516,-23.32360407511393,0.00025,0.6031941731770833,0.6011210083961487,0.2,-0.10588619906872433,-0.5717203617095947,3.2469875812530518,1410,0.04356196785035233
113,2,217,5124096,6,"friction",359.01,1.1536866,0.07887247,-23.492835208773613,0.00025,0.5859832763671875,0.5751879215240479,0.2,-0.09823289753500528,-0.5741892457008362,3.311194658279419,1425,0.02356240379740484
133,2,214,5128192,7,"friction",331.05,1.2492553,0.06841344,-23.672021983067193,0.00025,0.5852650960286458,0.6790990233421326,0.2,-0.10232663371498348,-0.5837188959121704,3.3917973041534424,1440,0.022607514828753967
154,2,211,5132288,8,"friction",304.84,1.3008661,0.07266644,-23.880973268548647,0.00025,0.595538330078125,0.6079263985157013,0.2,-0.10792089137806518,-0.6004524230957031,3.4545021057128906,1455,0.019945983984992685
175,2,209,5136384,9,"friction",305.39,1.277597,0.063208655,-24.037088879942893,0.00025,0.5931498209635416,0.7055318653583527,0.2,-0.10747948391823835,-0.5944292545318604,3.520468235015869,1470,0.031152615132547603
196,2,208,5140480,10,"friction",284.37,1.1286781,0.08430341,-24.135986416538557,0.00025,0.5869476318359375,0.7411477863788605,0.2,-0.10464597482859972,-0.5911636352539062,3.5364174842834473,1485,0.0378746648474286
216,2,207,5144576,11,"friction",302.64,1.2187141,0.10438423,-24.23984179397424,0.00025,0.6138783772786458,0.5637667179107666,0.2,-0.11075828521279618,-0.5975164175033569,3.599766254425049,1500,0.02818504804939342
237,2,207,5148672,12,"friction",317.11,1.1059538,0.10877081,-24.396282571554185,0.00025,0.6360626220703125,0.786560982465744,0.2,-0.11502266095291512,-0.6127991676330566,3.6680328845977783,1515,0.023925457225413994
258,2,206,5152768,13,"friction",315.3,1.2215338,0.0923505,-24.56245091855526,0.00025,0.605035400390625,0.6279862523078918,0.2,-0.10274282703467179,-0.5981628894805908,3.7322921752929688,1530,0.02352771166576228
