#{"t_start": 1753224669.6289685, "env_id": null}
r,l,t
-0.40924722,501,1.092946
4.1825743,501,2.182214
-0.33233064,501,3.250383
0.8364921,32,3.370616
2.8699446,222,3.881508
2.2922726,501,4.959961
3.3120492,501,6.053447
-1.4877174,501,7.150151
5.167213,501,8.244287
1.0328321,41,8.384381
1.4470758,501,21.222652
3.295819,501,22.297326
0.8070124,98,22.550736
3.688197,501,23.632128
2.8227878,501,24.723255
5.2536798,501,25.817039
3.076043,501,26.91061
0.22021604,501,28.002641
-1.8349407,501,29.106071
0.99706393,45,29.251984
-4.108176,62,29.43544
3.860697,501,42.362333
1.8178064,259,42.958332
-1.9328253,501,44.042406
3.9137213,501,45.136097
1.4605662,501,46.24444
0.93663496,44,46.390545
1.0046147,36,46.519133
0.33425966,44,46.665537
4.207708,420,47.583719
4.0196447,501,48.671559
4.215404,480,49.696534
1.9781464,149,50.055085
3.835438,453,63.046996
4.343908,501,64.126541
-0.13406692,501,65.212421
4.7404346,501,66.311648
-3.3119872,501,67.429358
0.9199783,343,68.189079
1.9749837,179,68.62035
-0.4543406,501,69.732966
5.819919,501,70.810087
-0.7135093,501,83.856503
4.043137,501,84.939217
0.0052001923,501,86.0313
1.8537716,501,87.113446
0.9052842,313,87.813969
2.3849487,230,88.336914
-3.8310175,501,89.516975
4.556172,501,90.600507
3.229157,289,91.244309
0.93017447,501,92.343246
1.2479963,41,92.481221
3.5287635,501,105.507246
3.279772,501,106.593473
3.0560963,262,107.191858
0.5533069,501,108.290313
3.9578195,501,109.392403
4.2883277,501,110.458367
0.8445495,38,110.591405
0.7850443,43,110.735548
2.5242617,501,111.822187
-2.8683856,73,112.028928
0.8587448,36,112.156598
3.378874,501,113.243657
2.870403,501,126.258011
5.6469154,501,127.334589
1.0979962,501,128.410437
2.8914375,501,129.493019
0.45731184,501,130.593771
1.9976444,501,131.684852
2.191575,501,132.768879
-0.49712712,501,133.875129
1.7382572,501,146.930888
1.0331919,60,147.10862
2.4902833,501,148.209533
-1.426586,501,149.297597
-0.9647088,501,150.398959
1.6666147,41,150.538262
2.3287776,501,151.617211
2.889478,501,152.700884
3.5544856,501,153.793127
4.4310713,501,154.885706
2.9256191,501,167.752456
-1.0932382,402,168.65842
2.074159,501,169.744896
0.9657468,42,169.884758
3.927792,501,170.981869
1.3581418,125,171.297963
4.61133,501,172.3705
0.16802469,501,173.457032
1.3711517,134,173.790382
3.809854,501,174.873132
5.0494404,501,175.967244
0.010450937,501,188.976971
2.288106,126,189.292383
4.556556,501,190.381317
1.9547514,501,191.453315
0.9808174,501,192.547873
-1.3137133,501,193.650542
3.6606371,501,194.73371
-0.5261476,501,195.837242
1.624964,124,196.14761
3.463463,368,196.964062
1.252456,501,210.038283
3.1782808,252,210.617396
3.7904372,405,211.511021
4.093892,501,212.589554
2.19549,215,213.081336
-1.3239313,501,214.171195
-2.1546452,501,215.296421
0.7907555,501,216.385396
1.3879447,82,216.609808
3.4687452,501,217.709763
1.1069374,44,217.853397
2.1181126,238,218.400401
0.6026187,501,231.436956
-1.0341209,501,232.528774
0.15321027,501,233.6222
1.5463767,501,234.708659
1.434865,109,234.98561
4.211211,501,236.087228
1.4164011,423,237.029654
-1.7078209,501,238.127026
2.4626663,226,238.653975
1.6178195,116,238.947186
3.9730756,501,252.021202
2.8602595,501,253.11339
-0.70444673,501,254.26443
-2.8689,501,255.344014
-2.439098,178,255.769631
-0.5452873,501,256.858728
2.2324994,501,257.954328
-3.0714204,501,259.077857
2.3246267,501,260.166584
