time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,5,446,5263360,1,"random",406.06,1.4927704,,,,,,,,,,,
30,5,270,5267456,2,"random",412.77,1.2493491,0.09190939,-29.60639620621999,0.00025,0.6700856526692708,0.6826169490814209,0.2,-0.11289431705275395,-0.7130144834518433,6.591803073883057,1950,0.02992912633344531
51,5,239,5271552,3,"random",419.76,1.2327045,0.08249073,-29.79085902571678,0.00025,0.6443471272786458,0.7622854858636856,0.2,-0.11235638794363088,-0.7156314849853516,6.7351155281066895,1965,0.048784360609715804
72,5,225,5275648,4,"random",427.78,1.1511533,0.07546612,-30.053113238016763,0.00025,0.582080078125,0.5282934010028839,0.2,-0.08169743442170632,-0.6780685186386108,6.939263343811035,1980,0.07670808576998146
93,5,218,5279744,5,"random",432.19,1.0886228,0.05846726,-30.28471306959788,0.00025,0.5825998942057292,0.7245998382568359,0.2,-0.10107724349897278,-0.7016592621803284,7.100732803344727,1995,0.0474326879028619
115,5,213,5283840,6,"random",434.04,0.76961035,0.22048093,-30.492925789952277,0.00025,0.6991312662760417,0.5980308055877686,0.2,-0.11584891513824308,-0.7314998507499695,7.298395156860352,2010,0.05219199636679453
136,5,210,5287936,7,"random",443.77,0.5011631,0.07130166,-30.67676454881827,0.00025,0.5538584391276041,0.42848092317581177,0.2,-0.08909553541064573,-0.6914734244346619,7.42335844039917,2025,0.06513776366045931
157,5,208,5292032,8,"random",451.29,0.5038849,0.07044526,-30.83483766913414,0.00025,0.6154937744140625,0.5337985455989838,0.2,-0.10277761892090591,-0.7299351692199707,7.553323745727539,2040,0.03816450020337167
177,5,207,5296128,9,"random",457.42,0.45586085,0.07857266,-31.02265796760718,0.00025,0.6264211018880208,0.7115839123725891,0.2,-0.10588691798281312,-0.7314454913139343,7.722476482391357,2055,0.025075725099789756
199,5,205,5300224,10,"random",468.38,0.47018388,0.08627847,-31.18012953499953,0.00025,0.6635548909505208,0.7106435000896454,0.2,-0.11547636113173212,-0.743258535861969,7.863353252410889,2070,0.035881293491305165
220,5,204,5304320,11,"random",473.87,0.4110722,0.06764163,-31.36936968664328,0.00025,0.5820546468098958,0.503436952829361,0.2,-0.09271754523166843,-0.7008076906204224,8.057621955871582,2085,0.1167007356591057
241,5,203,5308416,12,"random",477.1,0.5088022,0.07149217,-31.680335726340612,0.00025,0.6358784993489583,0.5368624031543732,0.2,-0.10821280736951545,-0.7520750761032104,8.354341506958008,2100,0.031980714796615455
262,5,203,5312512,13,"random",477.1,0.5322491,0.07452878,-31.90787353217602,0.00025,0.6108062744140625,0.5020938217639923,0.2,-0.08869911129319613,-0.7270094156265259,8.551594734191895,2115,0.06729879253737939
