#{"t_start": 1753225310.36042, "env_id": null}
r,l,t
1.2691096,501,1.113266
-0.6861454,501,2.214587
0.75379854,501,3.331435
0.06134559,501,4.401113
1.4479252,501,5.473694
1.4083606,501,6.550609
-2.5488763,501,7.653447
1.8990911,38,7.786723
0.25913778,501,8.870719
1.0881162,501,22.104749
1.9082986,33,22.226857
-1.7069937,501,23.329076
0.38280505,501,24.42275
2.803172,23,24.524225
-0.28771454,501,25.637934
-0.39862797,501,26.728292
2.6448169,501,27.809367
-0.90083134,501,28.895116
1.6585813,22,28.995183
-1.8366798,501,30.077484
-0.36822048,501,43.383507
-1.9293181,501,44.455553
0.2572833,501,45.526316
1.4549623,501,46.676114
2.2601955,501,47.766782
-1.0330961,501,48.881366
1.2430522,501,49.970479
-0.04000473,501,51.061145
2.2135422,501,64.241313
1.2311357,501,65.357303
-1.5166086,501,66.449292
0.6019399,501,67.530989
-1.257829,501,68.713496
0.63894814,501,69.823027
2.2769282,501,70.914225
3.1036735,501,71.989217
-2.4871988,501,85.231261
-0.20100138,501,86.300575
1.5167165,501,87.385463
-3.1667638,501,88.579206
0.14657669,501,89.644888
-1.3673257,501,90.718077
-0.6936029,501,91.832251
-0.7239741,501,92.906565
1.1467615,501,106.214497
-0.8421818,501,107.316078
0.7452267,501,108.419257
-0.3660692,501,109.504302
1.2129598,501,110.588341
2.1666334,501,111.687189
2.8960493,26,111.794827
1.0583667,501,112.907395
-2.9125218,501,114.032619
1.3937359,24,114.135416
-1.3489889,501,127.469947
-1.9651322,501,128.556814
2.0231326,501,129.650722
0.059015512,501,130.833428
5.7467427,501,131.910822
2.5284836,36,132.038728
1.7997468,25,132.144236
-0.65605646,501,133.208643
1.6074132,501,134.329284
1.1216713,501,135.440319
1.5831901,501,148.754082
-0.85084116,501,149.889498
0.9609804,501,151.039207
-0.42646122,501,152.146285
1.7071314,26,152.253636
-1.5850421,501,153.36418
-4.4563823,501,154.501165
-0.39879602,501,155.576469
3.119332,501,156.692805
-1.6037723,501,169.868537
1.1913607,501,170.987079
-0.3915188,501,172.048054
2.8834076,501,173.137821
2.9102697,501,174.218346
2.3710601,501,175.302792
0.9474478,501,176.419207
-4.993545,501,177.540112
4.7542844,501,178.635277
1.2818532,501,191.994171
1.567085,501,193.108784
0.8603713,501,194.193782
2.4469357,501,195.269831
-1.1393701,501,196.401108
2.591435,501,197.519878
1.6777325,38,197.652828
2.4462595,501,198.760772
0.77971613,501,199.841011
-1.2332975,501,213.134539
2.178771,501,214.229897
1.8713478,25,214.336008
-3.911222,501,215.450734
-0.69432896,501,216.547099
3.0746188,501,217.672618
-0.40848696,501,218.772479
-0.73867303,501,219.873774
0.005490249,501,220.979732
1.7900164,501,1642.558632
0.49112567,501,1643.672512
-0.02329874,501,1644.788108
-4.8862586,501,1645.878505
0.9190915,501,1647.013602
0.93799734,501,1648.102146
-3.7927623,501,1649.192754
-2.4698694,501,1650.286311
0.91557014,501,1663.605077
-1.4397342,501,1664.716902
0.80954707,501,1665.817574
-0.48461387,501,1666.920324
2.3818614,20,1667.01663
0.5573942,501,1668.120455
0.55965835,501,1669.221016
1.0027637,501,1670.307385
-1.1781626,501,1671.410308
