time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,7,452,5369856,1,"angle",450.27,0.37849158,,,,,,,,,,,
30,7,268,5373952,2,"angle",438.18,0.24810418,0.060520004,-35.02627867460251,0.00025,0.5393473307291666,0.5167400240898132,0.2,-0.08646413321960912,-0.7843555808067322,12.130953788757324,2340,0.03188597267871955
51,7,237,5378048,3,"angle",428.92,0.114717215,0.07005217,-35.23537910977999,0.00025,0.5842061360677083,0.6742407083511353,0.2,-0.09992516494579225,-0.805526077747345,12.51474380493164,2355,0.051672633626731114
73,7,224,5382144,4,"angle",429.56,-0.0132798,0.07279195,-35.47334782282511,0.00025,0.5991353352864583,0.38444292545318604,0.2,-0.10682423699521072,-0.8238793015480042,12.778491973876953,2370,0.05904914554557763
94,7,216,5386240,5,"angle",429.31,-0.26233345,0.07794024,-35.633414838711424,0.00025,0.6222320556640625,0.5746473371982574,0.2,-0.11333130869364444,-0.8303952217102051,13.02983283996582,2385,0.04259975884730617
116,7,211,5390336,6,"angle",396.52,-0.46980163,0.06906374,-35.83366643985112,0.00025,0.5843699137369792,0.5840815305709839,0.2,-0.10460300806492645,-0.8271680474281311,13.28166389465332,2400,0.03657177675243777
137,7,208,5394432,7,"angle",396.66,-0.81014943,0.06262973,-35.99416878422101,0.00025,0.583953857421875,0.5833386480808258,0.2,-0.1065637741322765,-0.843765377998352,13.554604530334473,2415,0.04465981022513006
159,7,205,5398528,8,"angle",370.68,-0.8185583,0.06368968,-36.132521482308704,0.00025,0.573980712890625,0.6721121966838837,0.2,-0.10773025616872474,-0.8400514721870422,13.73939037322998,2430,0.03357066869890938
180,7,204,5402624,9,"angle",375.49,-0.8131119,0.071114875,-36.29653995434443,0.00025,0.6095723470052083,0.5931270718574524,0.2,-0.11012549065538527,-0.8427280783653259,14.048785209655762,2445,0.0367119674992864
201,7,202,5406720,10,"angle",372.5,-1.0010794,0.06735776,-36.45738765199979,0.00025,0.5859934488932291,0.7330779135227203,0.2,-0.11000011527551881,-0.8481593132019043,14.28693962097168,2460,0.02830043034288489
223,7,201,5410816,11,"angle",361.83,-1.0663695,0.062061135,-36.572873159249625,0.00025,0.5620992024739583,0.7151699662208557,0.2,-0.10716540490587552,-0.8513751029968262,14.462539672851562,2475,0.02953077092776463
245,7,200,5414912,12,"angle",366.49,-1.0260533,0.0700666,-36.71669607957204,0.00025,0.59571533203125,0.6596753001213074,0.2,-0.10763498283777154,-0.8556534051895142,14.764881134033203,2490,0.030186537321909176
266,7,199,5419008,13,"angle",367.28,-1.101225,0.07505879,-36.96408944328626,0.00025,0.6165751139322917,0.7287592887878418,0.2,-0.11010738640591929,-0.86095130443573,15.211174964904785,2505,0.0237148265519257
