#{"t_start": 1753120257.2556138, "env_id": null}
r,l,t
1.793461,501,1.286701
-1.3486524,501,2.534044
-1.0942569,501,3.750672
2.0392678,501,4.977174
1.981921,501,6.191077
-2.3721547,501,7.679673
2.3334804,501,9.165939
3.992402,501,10.671012
2.1479795,501,27.672151
0.45252454,501,28.87363
2.1584811,501,30.159847
-1.366765,501,31.518153
0.771658,501,32.749413
1.0613986,501,34.123078
-3.4594398,501,35.668856
-1.1632475,501,37.224875
3.2503748,501,54.057313
2.5295868,501,55.328526
2.5042858,501,56.554793
-3.5048006,501,57.841398
-0.62235415,58,58.025602
3.8999722,501,59.252885
-1.5856639,501,60.68109
-0.022588963,501,62.197311
-0.56612843,501,63.701296
1.0343276,326,80.129804
1.1591096,501,81.385083
-0.008716295,501,82.607467
-3.4718494,501,83.836056
-1.142547,501,85.08644
-1.4456317,501,86.288165
-0.062190164,501,87.682796
0.27986622,501,89.19634
3.8109882,501,106.321942
-0.3735764,501,107.612645
4.8250413,501,108.843192
-1.3084664,501,110.078069
-1.6963266,501,111.287866
1.7926724,107,111.604518
-0.637698,501,112.886046
1.2760196,501,114.274126
-2.4218485,501,115.896645
-2.5664315,501,133.057892
0.5415903,501,134.258435
2.147978,501,135.519385
-4.0557113,501,136.750856
1.1307056,501,137.961369
-2.3286338,501,139.182383
0.5643836,501,140.507231
2.4254093,501,141.996923
-1.699065,501,143.522302
-0.62338114,501,160.468613
2.477399,501,161.714383
1.5062473,501,162.945491
-0.51297665,501,164.178368
-8.09821,501,165.44274
-3.0540762,501,166.69679
-4.0693564,501,168.223119
-1.3284205,501,169.762744
0.9657759,501,186.832554
-0.34940875,501,188.085522
1.5477006,23,188.196766
1.6598827,501,189.443872
1.3640641,501,190.637241
-0.8688396,501,191.883168
-4.522577,501,193.170182
1.6681648,501,194.639292
6.959401,501,196.138806
3.1754642,501,213.227047
2.68089,501,214.470264
2.9740324,501,215.691724
0.46975735,501,216.973386
-1.9617649,501,218.190984
-0.45213056,501,219.393608
2.8617432,501,220.705296
-0.13346693,501,222.229026
3.5507658,501,239.496185
0.42931694,162,239.938447
3.5930882,501,241.182605
-1.0753547,501,242.430197
0.039976332,501,243.707632
-0.7746214,501,244.941095
2.3509004,501,246.239872
3.2423408,483,247.556837
0.08268992,501,249.084114
-0.08722541,501,266.347236
-2.719625,501,267.594055
1.2084821,501,268.907561
3.3513365,501,270.12806
4.91147,501,271.363398
0.6431618,501,272.557887
-3.8275151,501,273.808515
4.5141554,501,275.324877
-1.5696614,501,292.725632
-0.4870756,501,294.010006
-2.806865,501,295.376566
-0.6941161,501,296.585824
-0.34697247,501,297.816573
3.0267024,501,299.059692
1.5486326,501,300.279383
-4.2640805,501,301.895535
4.3213205,501,319.602422
3.004985,501,320.94383
2.1298203,501,322.233793
0.11112696,501,323.516165
0.5401511,501,324.935712
-1.4814163,501,326.359879
-4.726518,501,327.721517
-2.1873882,501,329.274198
