#{"t_start": 1753227013.1485715, "env_id": null}
r,l,t
1.2976626,501,1.103499
1.00145,78,1.316083
-1.1592791,501,2.422858
-4.672508,501,3.514671
-0.12766948,501,4.590244
2.672285,323,5.303127
-1.2023646,501,6.401527
4.0181627,501,7.492474
1.4324554,281,8.117991
0.43015152,37,8.247392
-1.4771105,501,21.722258
0.623531,43,21.863336
-1.2029071,501,22.975335
-0.25804985,501,24.081317
-1.1078013,45,24.225852
-1.2837728,501,25.305269
-3.871119,501,26.378094
-0.8517165,501,27.468192
0.19569124,501,28.571688
2.082571,501,29.663534
-1.3245258,206,30.139921
-4.7026725,501,43.502057
-1.1167469,501,44.569805
-2.622031,501,45.669116
-3.0112956,501,46.762881
-0.8356121,501,47.828768
-0.6901634,30,47.944237
1.7102319,501,49.016961
-4.3962874,501,50.14662
2.1287117,46,50.294657
-3.407471,501,51.407058
-0.91235805,501,64.754215
0.7852758,68,64.94803
-4.138034,501,66.083995
-0.5887147,501,67.195249
1.702449,46,67.341504
2.7229435,501,68.413459
-2.2458048,501,69.473039
-1.2433838,501,70.56297
-1.9572773,501,71.665681
-2.3415456,501,72.761439
-1.1118716,501,86.112235
-0.82725644,326,86.870192
-1.1269462,166,87.270927
-2.385704,501,88.389203
0.30849847,501,89.479274
-5.124893,501,90.5384
-0.20913474,45,90.682336
-1.2443978,501,91.747226
0.69163084,501,92.859232
-0.4604222,501,93.964679
0.14811867,310,106.962344
-2.016021,47,107.111874
0.30196932,140,107.454503
-2.3760715,501,108.624801
-4.419796,501,109.743114
1.016668,35,109.868563
-2.1427717,501,110.956655
0.060728803,52,111.118037
1.8084261,54,111.283173
-1.2318307,501,112.378168
0.035572045,501,113.512486
1.212483,45,113.659357
-1.6054065,35,113.784082
-3.9157848,501,114.871982
0.18140541,37,115.001539
1.4996724,501,116.089475
-3.883265,501,129.489626
-0.6187534,501,130.593054
-2.171566,501,131.692551
-2.8852906,501,132.790229
1.9269196,501,133.88487
-0.795353,45,134.028894
-5.714976,501,135.137392
-1.9923996,501,136.254915
-2.292268,501,137.370164
-3.1279266,32,137.490125
-1.1138932,501,150.890039
-0.60450923,74,151.095535
-0.054168656,155,151.472273
-2.595796,501,152.557197
0.5018651,38,152.689484
2.641284,501,153.772221
-3.3989587,501,154.880191
-2.7150114,501,155.96479
-0.23688821,60,156.141958
0.65086466,501,157.260273
-3.0632987,501,158.341844
0.64258224,39,158.474538
1.2683458,42,158.612219
-0.9568624,501,172.037247
2.3464417,501,173.142271
-0.62313694,501,174.235763
1.0637711,501,175.34323
1.1635551,501,176.446836
-0.7291256,501,177.52231
-1.1709962,501,178.642585
0.28081277,501,179.722835
-1.5653034,501,193.110822
0.30690193,67,193.308451
-3.1330304,501,194.396225
-3.858923,501,195.498821
1.5183773,501,196.610442
-1.6093675,501,197.706578
-4.939602,501,198.839672
-4.134061,501,199.960885
-0.38265872,501,201.063867
0.6532623,35,201.189551
-2.8164916,501,214.68996
-4.7870507,501,215.808428
-4.4715505,501,216.952123
-1.5977638,501,218.11248
0.53003514,35,218.237473
-0.20558676,49,218.390247
1.3381573,51,218.548044
1.5956346,250,219.117566
-3.2136924,501,220.224132
0.047227696,40,220.359977
-2.2113087,501,221.492433
-0.23014328,38,221.621766
-1.5474693,84,221.853091
-0.27430302,501,222.964753
1.4820102,501,236.357404
1.4695674,501,237.450797
-1.0921049,41,237.586426
-3.9111717,501,238.677693
-0.075026385,501,239.829562
-0.8036977,501,240.955495
-2.2587128,501,242.069373
-0.46033654,501,243.136211
-2.5595627,501,244.240586
-2.192681,501,257.733881
0.34616545,44,257.877696
-2.8895226,501,258.970087
-2.0656512,501,260.07273
1.4669114,501,261.191095
-0.09743722,501,262.308161
-1.9436607,501,263.387515
-5.1025662,501,264.511472
-1.4967177,149,264.880345
-1.7584547,501,265.983554
