rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,custom/intervention_type,custom/stage,train/value_loss,train/clip_fraction,train/std,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl
449.75,5156864,400,10,1,0.38877434,"friction",3,,,,,,,,,,,
456.91,5160960,226,36,2,0.3499577,"friction",3,0.028950970327908485,0.5895782470703125,3.751779317855835,-0.10766618227450332,0.4178693890571594,0.2,-24.659581158558527,0.00025,-0.6020371317863464,1560,0.0749436
461.75,5165056,197,62,3,0.27580306,"friction",3,0.03824446046104034,0.568341064453125,3.7803094387054443,-0.10845256293129447,0.48642516136169434,0.2,-24.712773323059082,0.00025,-0.605850100517273,1575,0.09111278
458.24,5169152,185,88,4,0.10096409,"friction",3,0.039215051453599395,0.5712626139322917,3.80688214302063,-0.09993825171720043,0.6240334808826447,0.2,-24.775250775615373,0.00025,-0.5963985919952393,1590,0.08122644
456.15,5173248,179,114,5,0.021408781,"friction",3,0.054882974332819384,0.562164306640625,3.8825929164886475,-0.09332805393156983,0.3960769772529602,0.2,-24.93020706276099,0.00025,-0.5908917784690857,1605,0.07245309
456.67,5177344,175,140,6,-0.033000927,"friction",3,0.0372606935207538,0.549053955078125,3.9592437744140625,-0.08901338404151223,0.632255882024765,0.2,-25.088953214883805,0.00025,-0.5997839570045471,1620,0.063181095
453.75,5181440,172,166,7,0.07882681,"friction",3,0.028679298134617663,0.5619069417317708,4.029351234436035,-0.09615934204023992,0.7850744724273682,0.2,-25.2584814141194,0.00025,-0.6125695705413818,1635,0.06849599
446.51,5185536,170,192,8,0.18116924,"friction",3,0.03965514239098411,0.5075642903645833,4.093409061431885,-0.09374990808282746,0.8606066852807999,0.2,-25.401240131258966,0.00025,-0.6057507395744324,1650,0.05110605
451.28,5189632,169,217,9,0.2788311,"friction",3,0.03534632256487384,0.5557078043619792,4.163339614868164,-0.08908753863385452,0.6778025329113007,0.2,-25.566380938887598,0.00025,-0.6013109683990479,1665,0.07824188
442.38,5193728,168,243,10,0.4134494,"friction",3,0.022325669974573734,0.5337249755859375,4.223150730133057,-0.09633471965935314,0.8214744627475739,0.2,-25.699659381310145,0.00025,-0.6155422925949097,1680,0.060770694
432.66,5197824,167,269,11,0.5511526,"friction",3,0.024956895398402897,0.5220011393229167,4.29771614074707,-0.0937413080498421,0.8155822306871414,0.2,-25.851353121797242,0.00025,-0.6177759170532227,1695,0.05360013
436.55,5201920,166,295,12,0.7830318,"friction",3,0.025431203712651042,0.5552083333333333,4.342579364776611,-0.10042386097678294,0.6934593617916107,0.2,-25.9455075720946,0.00025,-0.6290134787559509,1710,0.068506524
430.0,5206016,165,321,13,0.7640263,"friction",3,0.023949299697900037,0.5281087239583333,4.395008563995361,-0.09394654303663022,0.8501231223344803,0.2,-26.056529570619265,0.00025,-0.6212258338928223,1725,0.55089855
