#{"t_start": 1753119523.5454466, "env_id": null}
r,l,t
1.3916574,82,0.307019
1.8307979,501,1.771384
0.59562725,52,1.950402
1.7325072,501,3.165312
3.4707453,501,4.376315
1.4624412,501,5.590299
0.76027197,501,6.794914
1.1036415,501,8.026612
0.55581033,54,8.199812
2.985436,501,9.403276
3.6547894,501,26.500911
4.1426563,501,27.963766
3.1546168,501,29.151256
3.8085651,501,30.341506
3.3514915,501,31.55623
5.22585,501,32.771008
2.1509693,501,33.987142
4.0477114,365,34.894011
4.979607,501,36.07608
3.8236241,501,53.242784
5.1406016,480,54.566183
2.7445788,177,55.027529
0.92448556,501,56.305307
2.4434152,501,57.478702
2.5559776,501,58.667415
1.2082124,145,59.045112
2.904765,501,60.246686
2.5144422,501,61.500003
-3.7837799,501,78.576821
3.9800677,501,80.053907
-2.0353317,501,81.314683
0.022241432,227,81.929243
0.1916995,98,82.22819
0.21659862,501,83.463524
0.9231726,501,84.717301
-0.8667446,501,85.938202
2.6734245,501,87.132481
1.6903298,501,88.340946
-3.6504736,501,105.664255
-0.9704114,501,106.967137
-0.26803133,501,108.254094
1.8780836,175,108.720058
-0.0047471616,501,109.939713
-1.3217288,501,111.14201
2.6826003,501,112.370417
1.2356259,114,112.697362
1.7602926,501,113.919051
-0.91732526,501,130.950933
2.4482973,501,132.350312
0.8553155,501,133.56046
-2.1756601,501,134.793291
0.9877436,81,135.024419
2.3444757,501,136.25582
0.15609485,501,137.519702
-0.89444584,501,138.835962
1.6832376,501,140.071779
4.418612,501,157.161409
0.406533,501,158.589569
-1.0471786,501,159.872408
-0.030629624,501,161.087772
-1.5036445,501,162.335812
-0.85492265,501,163.543901
-1.5294285,501,164.846451
2.5071535,501,166.061871
-0.97136724,501,167.314782
0.25094786,501,184.72362
-1.4125112,501,186.013991
0.2504711,501,187.242467
3.8020215,283,187.96133
-3.1628544,501,189.29623
3.6251476,501,190.52903
2.4275222,501,191.799688
2.1901882,501,193.040208
-2.690558,501,210.279392
5.013686,501,211.655137
0.8449064,70,211.883339
-0.99069804,501,213.175092
0.025923066,80,213.415144
-0.10394697,501,214.714571
-3.4827626,501,216.009261
-3.334798,501,217.253332
1.270691,501,218.513591
5.040893,501,219.74544
-1.0818384,501,237.154991
1.2261646,501,238.445282
1.6365696,501,239.63776
4.39513,501,240.825249
3.4516833,501,241.998885
2.648092,164,242.428803
-1.6536092,501,243.661899
4.215645,501,244.87963
3.8771343,501,246.090796
-1.171499,501,263.341346
3.6054795,501,264.701835
-0.74030805,37,264.834663
5.4932094,501,266.078444
0.34450114,501,267.277071
-3.770121,501,268.529915
0.8663055,501,269.796159
0.53845227,501,271.030677
-0.05938227,63,271.236386
1.3112522,501,272.47481
1.8180188,501,289.681577
1.6205385,501,291.008122
-1.5125158,501,292.321391
-5.8883224,501,293.596514
0.8581047,451,294.67972
1.691107,167,295.12107
2.5799303,501,296.347529
4.2278876,419,297.342748
-1.8655506,501,298.67859
-0.30665225,501,315.623479
-3.9703012,501,317.112124
1.3625888,501,318.345171
-6.6805034,501,319.615075
-0.18730457,501,320.828072
-0.37479672,501,322.060596
2.9945369,501,323.310896
0.16926746,501,324.509579
