rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,custom/intervention_type,custom/stage,train/value_loss,train/clip_fraction,train/std,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl
420.36,5210112,394,10,1,1.0558066,"visual",4,,,,,,,,,,,
425.89,5214208,225,36,2,1.4199333,"visual",4,0.023401184332518216,0.5730499267578125,4.570104598999023,-0.10439035175853253,0.7666555792093277,0.2,-26.404527196288107,0.00025,-0.6369455456733704,1755,0.05747547
418.88,5218304,196,62,3,1.7168982,"visual",4,0.017511165176983923,0.5523122151692709,4.65142822265625,-0.10447149923226486,0.7376053035259247,0.2,-26.554607750972114,0.00025,-0.6482258439064026,1770,0.055872932
419.28,5222400,184,88,4,1.6230046,"visual",4,0.024531428560536975,0.5977335611979167,4.707245826721191,-0.10914311255231345,0.7434172034263611,0.2,-26.68101793328921,0.00025,-0.6543704867362976,1785,0.065835536
419.51,5226496,178,115,5,1.5701321,"visual",4,0.03237740372715052,0.6069447835286458,4.763327598571777,-0.11222827100621847,0.5381646454334259,0.2,-26.784323767820993,0.00025,-0.6525254845619202,1800,0.07035513
419.98,5230592,174,141,6,1.5719252,"visual",4,0.031131863823975436,0.5702158610026041,4.858982563018799,-0.0989152118556376,0.48737239837646484,0.2,-26.945922383666037,0.00025,-0.6373785734176636,1815,0.06569154
424.28,5234688,171,167,7,1.4507397,"visual",4,0.03559324297530111,0.5746409098307291,4.943685531616211,-0.09703893511590043,0.6481483578681946,0.2,-27.085235777497292,0.00025,-0.645318329334259,1830,0.07096426
426.7,5238784,168,193,8,1.3543361,"visual",4,0.03276349968946306,0.5902313232421875,5.009537220001221,-0.1025780564697925,0.7105061411857605,0.2,-27.231326332688333,0.00025,-0.6581612229347229,1845,0.07382937
436.38,5242880,167,220,9,1.2011081,"visual",4,0.07927794826585645,0.5735015869140625,5.0731048583984375,-0.09377951871186573,0.8447656631469727,0.2,-27.339824178814887,0.00025,-0.6272218227386475,1860,1.0249466
438.31,5246976,166,246,10,1.2431188,"visual",4,0.025285392167279496,0.5907928466796875,5.097311973571777,-0.10570297288601675,0.6476531028747559,0.2,-27.401502521832786,0.00025,-0.6613456606864929,1875,0.0698849
442.48,5251072,165,273,11,1.1637572,"visual",4,0.01970720969887528,0.5232126871744792,5.167690277099609,-0.08952134931605542,0.8134604096412659,0.2,-27.507031163573266,0.00025,-0.6384922862052917,1890,0.060608678
446.78,5255168,164,299,12,1.0358367,"visual",4,0.030090774820322016,0.5691680908203125,5.284834384918213,-0.09407294102808615,0.6384822130203247,0.2,-27.70648879309495,0.00025,-0.6486615538597107,1905,0.06081552
448.14,5259264,163,325,13,0.6572901,"visual",4,0.029547416438678434,0.583282470703125,5.370838165283203,-0.09412910823254303,0.6651768982410431,0.2,-27.856859302520753,0.00025,-0.6560384631156921,1920,0.1663395
