rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,custom/intervention_type,custom/stage,train/value_loss,train/clip_fraction,train/std,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl
448.52,5316608,373,10,1,1.0554414,"random",6,,,,,,,,,,,
448.52,5320704,216,37,2,0.9623079,"random",6,0.04784127090436717,0.6478444417317708,6.958479404449463,-0.09625164109141528,0.3930984139442444,0.2,-30.116807184616725,0.00025,-0.7058677673339844,2145,0.09404705
447.81,5324800,191,64,3,1.0005193,"random",6,0.03697932603196629,0.6477752685546875,7.079911231994629,-0.11654263108406061,0.6236374974250793,0.2,-30.31197715799014,0.00025,-0.7324073910713196,2160,0.084431574
454.95,5328896,180,90,4,0.90255415,"random",6,0.05355750814390679,0.6338205973307292,7.160166263580322,-0.12046998022536476,0.7055596709251404,0.2,-30.430895966291427,0.00025,-0.7362262010574341,2175,0.06994301
459.88,5332992,174,117,5,0.79155844,"random",6,0.07013608104995607,0.6375111897786458,7.404397010803223,-0.09987608928058762,0.4618680477142334,0.2,-30.657378247380258,0.00025,-0.7178443074226379,2190,0.09658137
471.99,5337088,171,143,6,0.6575132,"random",6,0.04563473466114374,0.6191233317057292,7.547175884246826,-0.10501227891630455,0.5733376145362854,0.2,-30.882567021250726,0.00025,-0.7297636866569519,2205,0.09640925
480.83,5341184,168,170,7,0.43560544,"random",6,0.04548919883091003,0.648486328125,7.755988121032715,-0.11488214408891509,0.7645814418792725,0.2,-31.102886508901914,0.00025,-0.7465678453445435,2220,0.08139522
477.69,5345280,166,196,8,0.47088587,"random",6,0.1153318611701252,0.5771952311197917,7.92330265045166,-0.07959637183472902,0.44225621223449707,0.2,-31.30751122434934,0.00025,-0.6979120969772339,2235,0.06734481
477.69,5349376,165,223,9,0.5539419,"random",6,0.11943139501381665,0.6319986979166666,8.17716121673584,-0.10385570487730243,0.6161994934082031,0.2,-31.568211821715035,0.00025,-0.7248554229736328,2250,0.08693783
482.05,5353472,163,249,10,0.5564835,"random",6,0.07581260809965898,0.60523681640625,8.288090705871582,-0.10688646728982955,0.640979528427124,0.2,-31.75235266983509,0.00025,-0.7493526339530945,2265,0.06642385
482.53,5357568,163,276,11,0.46119514,"random",6,0.060933444745023733,0.6281219482421875,8.474921226501465,-0.10953102030277174,0.530310332775116,0.2,-31.93069726228714,0.00025,-0.746444582939148,2280,0.06545281
482.53,5361664,162,303,12,0.27962506,"random",6,0.030438405442691874,0.6337544759114583,8.61996078491211,-0.1113715377667783,0.7443539202213287,0.2,-32.07483615875244,0.00025,-0.7656161785125732,2295,0.07186881
482.53,5365760,160,330,13,0.21994595,"random",6,0.08727435536663203,0.576739501953125,8.809399604797363,-0.07726172688538403,0.681544691324234,0.2,-32.28089230855306,0.00025,-0.7229068279266357,2310,0.15107425
