#{"t_start": 1753121828.4858408, "env_id": null}
r,l,t
2.929933,501,1.074596
3.8974307,501,2.137523
3.5487487,501,3.2252
1.9752116,501,4.328776
5.8683023,501,5.404603
5.128445,501,6.491212
5.1539526,501,7.573742
5.186113,501,8.649475
4.7176948,501,21.345778
5.5649567,501,22.422801
4.599286,501,23.497668
4.822745,501,24.568569
-0.38955736,501,25.636186
1.4161155,501,26.713278
3.916347,501,27.779513
2.8954873,501,28.860481
0.3756004,501,41.61044
1.2988049,501,42.693044
1.7267501,501,43.778989
5.843156,501,44.848721
2.5411232,501,45.935834
3.0033445,501,47.00482
5.2173843,501,48.073815
-1.749542,501,49.179223
6.5919437,501,61.912512
-0.11080718,501,63.007529
5.63446,501,64.074959
5.3690367,501,65.158307
2.7021086,501,66.238531
-1.5426283,501,67.487832
5.10287,501,68.556917
5.398974,501,69.636245
5.5584235,501,82.382747
4.714342,501,83.450642
0.5856651,501,84.518094
-2.5702374,501,85.673321
5.574081,501,86.753664
6.4142895,501,87.827895
-0.6452326,501,88.968309
3.9800806,501,90.042558
3.7744167,501,102.836178
2.6427054,501,103.921881
6.702394,501,105.008793
3.6314507,501,106.077283
5.7262807,501,107.162248
5.5384197,501,108.234252
3.6620665,501,109.297236
-0.9898448,501,110.431614
5.436994,501,111.515291
-0.097547375,501,124.295554
5.537212,501,125.369608
-0.6472193,501,126.439067
5.8347955,501,127.505353
-1.2066151,501,128.668368
4.187165,501,129.735938
2.7892458,501,130.811341
-0.6371749,501,131.947925
5.4149446,501,144.667045
6.416073,501,145.747272
3.7778494,501,146.833377
5.2579412,501,147.90302
4.3830376,501,148.979912
2.8645203,501,150.056018
5.057642,501,151.122131
2.4802804,501,152.218977
4.1908064,501,164.892158
4.9310966,501,165.967456
6.00233,501,167.048646
5.3097663,501,168.118978
5.6323433,501,169.189323
1.0151864,501,170.249576
-0.63848096,501,171.359672
5.390076,501,172.430923
5.804207,501,185.176781
6.2198153,501,186.261425
4.43714,501,187.340902
2.2214823,501,188.408068
5.4176784,501,189.499453
6.656375,501,190.576705
2.3882837,501,191.664553
5.7845883,501,192.740374
3.4120176,501,205.543781
-2.7385437,501,206.813892
5.7104425,501,207.887297
5.014228,501,208.971274
-1.0190966,501,210.04751
4.4917073,501,211.126766
6.923479,501,212.203524
3.9251156,501,213.274729
6.1471267,501,226.074149
-2.9237669,501,227.320255
3.1854315,501,228.399864
4.5023103,501,229.484306
6.103777,501,230.569816
0.7403809,501,231.654661
5.5520234,501,232.738552
5.166636,501,233.820273
4.4699755,501,234.915388
0.63528633,501,247.719515
4.65852,501,248.789731
5.35305,501,249.86607
5.9759274,501,250.949651
-2.007409,501,252.037335
5.218254,501,253.113565
5.3872533,501,254.191404
0.008884214,501,255.294106
