custom/intervention_type,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,custom/stage,train/std,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss
"none",9,501.0,449,5210112,1,3.3058832,4,,,,,,,,,,,
"none",29,501.0,274,5214208,2,3.3869708,4,4.218222141265869,0.00025,-0.0963027303131336,0.11245981,-0.6022236347198486,0.5719991048177083,0.050769029812848504,0.2,0.7870039492845535,1755,-25.685970267653467
"none",50,501.0,242,5218304,3,3.4567394,4,4.28533935546875,0.00025,-0.08514645132381701,0.050990958,-0.5986958146095276,0.48332010904947914,0.04420229990986021,0.2,0.731764405965805,1770,-25.833163432280223
"none",71,501.0,229,5222400,4,3.3387985,4,4.354439735412598,0.00025,-0.09731900599508662,0.06013698,-0.6181045770645142,0.5384979248046875,0.016340262860467192,0.2,0.8975201696157455,1785,-25.956308062871297
"none",92,501.0,222,5226496,5,3.2923324,4,4.386329174041748,0.00025,-0.09015438747762043,0.07020957,-0.6178439855575562,0.5222096761067708,0.03592273877099312,0.2,0.7127573788166046,1800,-26.069764856497446
"none",112,501.0,217,5230592,6,3.3514152,4,4.432518005371094,0.00025,-0.10019177401603277,0.07084891,-0.6231715083122253,0.5602701822916667,0.027699019970896188,0.2,0.721749871969223,1815,-26.141521407167115
"none",133,501.0,214,5234688,7,3.302532,4,4.518992900848389,0.00025,-0.09922570751417273,0.06470682,-0.634185254573822,0.5800089518229167,0.03641555273012879,0.2,0.8128291517496109,1830,-26.29756948451201
"none",154,501.0,212,5238784,8,3.292623,4,4.5850090980529785,0.00025,-0.09316727790865116,0.057044856,-0.6093904972076416,0.5296152750651042,0.032196600294749564,0.2,0.8444698601961136,1845,-26.451828707257906
"none",175,501.0,210,5242880,9,3.3176866,4,4.665930271148682,0.00025,-0.09527741686421602,0.06279492,-0.6293675899505615,0.534710693359375,0.0305449055240994,0.2,0.7703059613704681,1860,-26.584053055445352
"none",196,501.0,208,5246976,10,3.412297,4,4.7042622566223145,0.00025,-0.0971236449549906,0.05090709,-0.6366428136825562,0.5142110188802084,0.023980617058017135,0.2,0.8363828659057617,1875,-26.674386861920357
"none",217,501.0,207,5251072,11,3.2478623,4,4.737004280090332,0.00025,-0.10433974065914906,0.054746643,-0.6461793780326843,0.5508351643880208,0.026532786199823022,0.2,0.81531822681427,1890,-26.741736061374347
"none",237,501.0,206,5255168,12,3.1271157,4,4.832296848297119,0.00025,-0.08338737489369426,0.071112275,-0.6124820113182068,0.572509765625,0.042597930365203256,0.2,0.63142529129982,1905,-26.903231479724248
"none",258,501.0,205,5259264,13,3.2582252,4,4.930051803588867,0.00025,-0.09507141390592248,0.07635825,-0.6340773701667786,0.5864898681640625,0.049704471619528096,0.2,0.6475962102413177,1920,-27.044662626584373
