#{"t_start": 1753118436.914282, "env_id": null}
r,l,t
2.371101,501,1.249888
3.3970287,279,1.944311
0.6793769,501,3.180832
1.1362146,501,4.433948
-4.1204076,45,4.5937
-2.1135943,501,5.817275
0.8912549,501,7.312992
-0.73286706,501,8.797985
-2.0104668,501,10.308268
1.0995601,501,26.15971
1.7509531,501,27.381347
2.1267474,178,27.829368
0.3679412,27,27.942581
6.005838,501,29.152924
1.6921973,501,30.394321
-2.9221346,501,31.713086
-3.3346696,33,31.866441
0.6973404,501,33.359668
-2.103188,501,34.863199
2.9490163,501,36.365004
2.4102004,501,51.999317
4.5915265,501,53.236993
5.4948816,501,54.436039
-0.88535345,501,55.68591
3.4104857,501,56.957343
-0.7435791,501,58.455173
1.4106506,501,59.953663
2.5022516,501,61.510887
0.05662373,501,77.176628
-2.8588123,501,78.3666
5.877407,501,79.602932
10.303625,501,80.862938
0.9353427,501,82.078842
0.32969412,24,82.186824
4.80422,501,83.668079
-4.0708036,501,85.17625
7.014368,501,86.660532
3.031365,501,102.349724
1.9417171,501,103.555535
0.19197202,501,104.796317
0.41641378,501,105.970678
-4.4977417,501,107.281995
-0.7989402,501,108.686876
3.9386702,501,110.195035
2.1570177,501,111.690486
3.499492,501,127.631577
-1.7673295,501,128.843698
1.5258603,501,130.060662
8.426383,501,131.255969
-2.4685752,501,132.449434
1.5165191,501,133.779645
5.097898,501,135.272137
2.2701511,501,136.758592
4.491819,501,152.716711
-2.6592498,501,153.975242
1.399362,501,155.148638
3.2849705,501,156.378997
4.138205,501,157.569506
0.23658879,501,158.774282
1.720885,501,160.239177
1.5235794,501,161.72648
0.016292974,501,163.221523
2.2254922,501,179.066068
-1.8902887,501,180.282362
-0.42967656,501,181.520329
0.14175913,501,182.762541
2.0183992,501,184.002842
2.9133408,501,185.395074
-0.21515375,501,186.900249
-3.2190807,44,187.078177
3.4456484,501,188.579733
-0.9606277,501,203.906422
0.02116548,501,205.117183
5.851192,501,206.32205
-1.5148019,501,207.567609
-0.9505253,501,208.764664
-6.059025,501,210.015762
4.7984095,501,211.527108
4.8966827,501,213.031502
2.472086,501,229.120461
0.87297225,501,230.350902
-4.1551604,501,231.540229
3.7322655,501,232.774105
-0.057388388,501,234.00523
3.4869108,501,235.267226
2.7849987,501,236.713905
0.67301375,501,238.253512
-3.6701047,501,254.388129
2.1087248,501,255.612313
6.908256,501,256.841722
-0.25586587,501,258.03498
0.45397955,501,259.241306
0.56333476,1,259.299552
-0.6959975,501,260.544363
1.172383,294,261.408015
3.84187,501,262.901623
4.005279,501,264.43756
2.804799,230,279.592185
-0.3315659,501,280.77133
-3.189782,102,281.0542
0.103194006,501,282.263037
-2.3273506,501,283.470405
-3.36606,501,284.688473
-1.4033756,501,285.883203
2.3348775,501,287.086771
-3.3955984,501,288.309935
-3.9951956,1,288.369213
-0.06291951,501,301.913127
1.0492017,501,303.128304
4.7032375,501,304.319628
0.035649836,501,305.510226
3.894852,177,305.959807
2.1279862,501,307.164448
1.9015542,501,308.376003
1.5758424,501,309.599204
0.67292565,501,310.81425
