#{"t_start": 1753119427.5985515, "env_id": null}
r,l,t
0.6456516,501,1.244307
1.2809688,501,2.512035
0.9226546,501,3.748437
0.0074212626,501,4.958121
-0.7172885,501,6.161024
1.1037471,501,7.377848
1.7877165,501,8.594338
2.9575672,501,9.903801
2.7421124,24,10.02459
2.221738,28,10.157231
1.3447651,108,26.150783
0.20290302,501,27.502239
0.1804461,118,27.833333
-1.8407015,501,29.167588
0.89910084,501,30.380377
-1.1654109,501,31.639656
-0.9719941,501,32.879395
4.6021504,501,34.118914
1.7679472,501,35.34149
-1.0100826,501,52.568691
0.43136698,501,53.730075
-1.1257275,501,54.915447
-1.2864516,501,56.129373
-0.11100026,501,57.31467
0.44985342,501,58.513007
-2.8488865,501,59.756213
-1.5751897,501,60.999208
2.4711978,501,74.884343
4.6957073,501,76.106706
-0.25241518,501,77.35253
2.9371762,501,78.562203
2.042937,501,79.752078
0.15548205,501,80.973994
2.3681357,501,82.173417
2.7473876,501,83.369433
-0.19613221,501,84.549656
1.0373607,501,98.687905
1.1757189,501,99.938664
5.6718407,501,101.181265
-0.9663256,501,102.39584
0.88812697,501,103.630384
-1.1386409,501,104.814125
1.8178477,23,104.918356
0.50103325,501,106.18826
0.9649334,501,107.651995
2.720205,501,124.698287
2.947198,501,125.890533
1.0942082,501,127.136622
-0.8951253,501,128.357397
4.1620917,501,129.562843
0.90397316,501,130.835764
-2.0342407,501,132.024446
0.5068727,47,132.177473
-0.057331074,501,133.650178
2.121618,44,133.827881
2.112016,501,150.862493
0.6477386,501,152.099571
-0.8540492,501,153.284401
0.9828536,501,154.497984
0.81179506,501,155.680437
2.1101017,501,156.948624
1.0461043,501,158.198035
1.448648,29,158.31889
1.3291423,501,159.777962
0.79198587,501,176.569888
-0.16130248,501,177.837185
-0.62659854,501,179.08457
2.5549598,40,179.233578
-3.0528002,501,180.526817
1.8012266,501,181.73473
1.7733163,501,182.93998
2.7288456,501,184.174809
2.4657094,501,185.553413
1.6018763,501,202.589171
2.0401185,501,203.840384
1.9911051,501,205.074861
0.10168336,501,206.315073
0.44800293,501,207.556551
-0.25849634,501,208.768219
0.11717237,501,210.008725
0.7933131,501,211.22272
3.8826432,501,228.329633
-1.3286138,501,229.579314
-2.2598817,501,230.846603
-1.8995508,501,232.117679
1.1552846,501,233.386163
0.06450361,501,234.62725
-1.7274864,501,235.852199
-0.2593027,501,237.11311
1.8542366,501,254.36883
2.5218801,24,254.476979
1.7174224,501,255.724915
0.26165286,501,256.922237
0.41989797,501,258.145375
-0.7084773,501,259.397842
0.69411296,501,260.6472
0.2198607,501,261.873565
-1.8209856,501,263.14385
2.3698592,501,280.594309
-2.2689815,501,281.894362
2.5176938,501,283.147524
-0.14885658,501,284.366058
1.5062442,501,285.644751
-0.90810543,501,286.8894
1.9677441,501,288.154826
-0.8110179,501,289.432011
-1.4169778,501,290.841449
1.5381165,501,308.073347
1.1352682,501,309.33006
2.6982977,501,310.537282
1.082425,46,310.693443
0.42575386,501,311.935075
2.9036064,501,313.18784
-0.03174231,501,314.472164
0.2800838,501,315.713524
-0.24882075,501,317.081514
