custom/intervention_type,custom/stage,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/std,train/n_updates
"goal",4,5210112,0.38028264,452.99,10,1,397,,,,,,,,,,,
"goal",4,5214208,0.45641765,449.87,36,2,224,0.068939894,0.00025,0.6002146402994791,-26.896454512079558,0.02588479622985081,-0.6468511819839478,-0.09849110206365973,0.6562549769878387,0.2,4.871724605560303,1755
"goal",4,5218304,0.25471476,453.41,62,3,197,0.17941679,0.00025,0.6340484619140625,-27.125806031624474,0.01910987279964805,-0.6697837710380554,-0.11318976151887909,0.6797439455986023,0.2,4.99526834487915,1770
"goal",4,5222400,0.53225046,453.41,84,4,193,0.069972605,0.00025,0.5927958170572917,-27.309934281309445,0.019870014260717047,-0.6742868423461914,-0.10931075260402091,0.7433454096317291,0.2,5.089627265930176,1785
"goal",4,5226496,0.5565295,453.26,108,5,189,0.065887995,0.00025,0.587872314453125,-27.472746975223224,0.026136907119265137,-0.6582208275794983,-0.10344698454355239,0.6559348404407501,0.2,5.190043926239014,1800
"goal",4,5230592,0.6413617,447.53,134,6,183,0.06674964,0.00025,0.6060139973958333,-27.714956491192183,0.01740805058677021,-0.6688848733901978,-0.10762260451471471,0.6619331240653992,0.2,5.323107719421387,1815
"goal",4,5234688,0.696764,446.92,160,7,178,0.07256513,0.00025,0.5852610270182291,-27.86004365682602,0.020935441757319494,-0.6559916734695435,-0.1057270765423406,0.6675189733505249,0.2,5.402119159698486,1830
"goal",4,5238784,0.61336476,451.27,186,8,175,0.066783525,0.00025,0.6092437744140625,-28.00350677371025,0.0152841180623606,-0.6831457614898682,-0.11440738484816393,0.6970677673816681,0.2,5.511611461639404,1845
"goal",4,5242880,0.80681,451.27,212,9,173,0.061269328,0.00025,0.6032307942708334,-28.202923931678136,0.016686832215054893,-0.6825865507125854,-0.11050724080972335,0.7158110737800598,0.2,5.6088433265686035,1860
"goal",4,5246976,0.8036258,455.9,238,10,171,0.06875746,0.00025,0.5856669108072917,-28.352989796797434,0.022710660108714364,-0.6815028786659241,-0.10806746155770573,0.6563126444816589,0.2,5.709132671356201,1875
"goal",4,5251072,0.78883356,455.75,264,11,170,0.0778071,0.00025,0.6098103841145833,-28.4447465578715,0.013735658008226893,-0.6932187080383301,-0.11017463558212816,0.6653657853603363,0.2,5.743448257446289,1890
"goal",4,5255168,0.74594605,455.75,291,12,168,0.06884143,0.00025,0.6011993408203125,-28.57927329937617,0.013441908396877504,-0.6797148585319519,-0.10175094916776288,0.7279113233089447,0.2,5.882198810577393,1905
"goal",4,5259264,0.7683508,468.46,317,13,167,0.08343309,0.00025,0.6167388916015625,-28.82476861079534,0.024107925558685867,-0.6897848844528198,-0.10168506173286004,0.6433680057525635,0.2,6.036421298980713,1920
