custom/intervention_type,custom/stage,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/std,train/n_updates
"angle",6,5316608,0.26372248,441.27,11,1,361,,,,,,,,,,,
"angle",6,5320704,0.19769111,431.55,37,2,216,0.061780866,0.00025,0.5488128662109375,-30.970637332399686,0.028939633679692635,-0.7201504111289978,-0.09363711430390444,0.6430702209472656,0.2,7.6868438720703125,2145
"angle",6,5324800,0.11312605,425.13,64,3,190,0.07225025,0.00025,0.5901102701822917,-31.191669923067092,0.030668965772686838,-0.7334343194961548,-0.09937374783088065,0.6236411333084106,0.2,7.878910541534424,2160
"angle",6,5328896,-0.0015195442,423.44,90,4,180,0.07317149,0.00025,0.595855712890625,-31.3717571914196,0.031968616726226175,-0.7362841963768005,-0.1049769882898545,0.48769712448120117,0.2,8.023822784423828,2175
"angle",6,5332992,-0.101046994,410.88,117,5,174,0.06312142,0.00025,0.5476318359375,-31.4898777594169,0.042302538181926745,-0.7326154112815857,-0.09567004333051349,0.47348278760910034,0.2,8.1238431930542,2190
"angle",6,5337088,-0.24821559,417.83,143,6,171,0.07402429,0.00025,0.6005615234375,-31.740031345685324,0.032646455451322255,-0.7346186637878418,-0.10215335990845537,0.5132429897785187,0.2,8.403900146484375,2205
"angle",6,5341184,-0.40798104,408.47,165,7,173,0.07568906,0.00025,0.6257120768229166,-31.960506865382193,0.03426629931345815,-0.7548872828483582,-0.11096648779445482,0.5957348644733429,0.2,8.577264785766602,2220
"angle",6,5345280,-0.56752867,401.51,192,8,170,0.08621901,0.00025,0.5853729248046875,-32.12823196649551,0.03475610808382044,-0.7482600808143616,-0.10483555702497445,0.6524106562137604,0.2,8.750690460205078,2235
"angle",6,5349376,-0.61248785,404.56,218,9,168,0.06843732,0.00025,0.5567708333333333,-32.310068573554354,0.03067471282556653,-0.7527759671211243,-0.1018263279266345,0.5606085956096649,0.2,8.9244966506958,2250
"angle",6,5353472,-0.75352156,399.56,245,10,166,0.06855832,0.00025,0.5734547932942708,-32.483766746521,0.03494514789247963,-0.7516882419586182,-0.1031056069933887,0.45416706800460815,0.2,9.106953620910645,2265
"angle",6,5357568,-0.88905394,397.22,272,11,165,0.06014102,0.00025,0.5357828776041667,-32.66106076041857,0.03619671533136473,-0.7509267926216125,-0.09448881894616837,0.5180018544197083,0.2,9.276386260986328,2280
"angle",6,5361664,-0.8960478,407.47,298,12,164,0.082773075,0.00025,0.5633809407552083,-32.862976457675295,0.03450223719798184,-0.7624181509017944,-0.09854368513066826,0.663001298904419,0.2,9.489355087280273,2295
"angle",6,5365760,-0.8293714,409.71,325,13,163,0.06324199,0.00025,0.5936065673828125,-33.04000913103422,0.02842089476859352,-0.7746589183807373,-0.10942688419866803,0.6778165400028229,0.2,9.694295883178711,2310
