#{"t_start": 1751307798.7822921, "env_id": null}
r,l,t
0.4928883,251,4.571627
0.41578084,251,4.571843
0.021740409,251,4.571874
1.2637919,251,4.571897
-0.5479213,251,4.57192
1.5124353,251,4.571965
0.6296601,251,4.571987
0.88014466,251,4.572013
0.29366782,251,4.572041
0.26772624,251,4.572062
0.6638485,251,4.572086
0.18826583,251,4.572107
0.07287919,251,4.572128
0.55148816,251,4.572149
-0.9205279,251,4.572169
-0.53994095,251,4.57219
-0.29141146,251,6.678483
0.11321204,251,6.678674
-1.0091088,251,6.678702
0.3503242,251,6.678727
-0.28478935,251,6.678749
0.42151546,251,6.678769
-0.03524079,251,6.678789
-0.13451786,251,6.67881
0.6362392,251,6.678831
1.5803989,251,6.67885
-0.46256956,251,6.678876
0.27488425,251,6.678895
0.3693053,251,6.678917
0.4060796,251,6.678937
1.1037341,251,6.678967
0.36665908,251,6.678987
-0.098045014,251,10.015083
-0.7195763,251,10.015217
0.3762317,251,10.015236
-0.5867428,251,10.015251
0.7848802,251,10.015264
0.18612671,251,10.015277
0.9115529,251,10.015291
-0.34406713,251,10.015305
0.028957643,251,10.015318
0.472473,251,10.015331
1.0780574,251,10.015346
0.13686164,251,10.015359
-0.3712194,251,10.015374
-0.3982083,251,10.015387
0.796059,251,10.015402
-0.15541841,251,10.015414
0.011144965,251,14.147068
-1.0511111,251,14.147244
0.7542618,251,14.147263
0.38994297,251,14.147279
0.32855344,251,14.147292
0.55161726,251,14.147316
-0.57812864,251,14.14733
0.18264203,251,14.147343
0.40835625,251,14.147356
1.2301184,251,14.147369
0.09038774,251,14.147384
-0.45558795,251,14.147397
0.2970493,251,14.147409
-0.27804527,251,14.147424
0.4310256,251,14.147437
0.52965915,251,14.147448
0.7743882,251,18.189582
-0.73383343,251,18.189835
-0.18727754,251,18.189881
0.41651657,251,18.189921
-0.43210936,251,18.189954
-0.78913873,251,18.189988
-0.14528924,251,18.19002
-0.99543196,251,18.190055
0.8123787,251,18.19009
-0.27978966,251,18.190126
0.45988455,251,18.190169
0.4216733,251,18.190208
0.39837816,251,18.190257
-0.8717031,251,18.190295
-0.6911887,251,18.19033
-0.09543681,251,18.190369
0.8500664,251,21.468607
0.43124232,251,21.468755
-0.1332865,251,21.468785
0.11223207,251,21.468807
1.2657591,251,21.468828
-0.34399787,251,21.468849
0.28349417,251,21.468872
0.5486333,251,21.468892
-0.0068249553,251,21.468913
-0.30821285,251,21.468934
-0.9104244,251,21.468955
-0.02169481,251,21.468976
-0.4372171,251,21.468997
0.37769732,251,21.469018
0.7440571,251,21.469039
1.5081061,251,21.469059
0.82222193,251,24.473687
0.29358876,251,24.47388
-0.113304205,251,24.4739
0.6507808,251,24.473916
0.9933101,251,24.473931
1.5389422,251,24.473944
0.13170695,251,24.473971
0.14920793,251,24.473985
1.464379,251,24.473999
-0.43797848,251,24.474013
0.5744316,251,24.474027
0.5225773,251,24.474041
0.32048795,251,24.474054
0.25770217,251,24.474066
0.08199495,251,24.474079
-0.5596565,251,24.474095
-0.26897123,251,28.205309
0.15151927,251,28.205534
-0.5841391,251,28.20557
-0.31894293,251,28.205597
0.31052953,251,28.205622
1.0881102,251,28.205647
0.082283355,251,28.205672
-0.5398398,251,28.205698
0.74879265,251,28.205723
-0.4524297,251,28.205749
-0.107390426,251,28.205779
0.098120965,251,28.205806
0.6448847,251,28.205832
-1.1166893,251,28.205856
-0.9408614,251,28.205881
0.3523817,251,28.205907
-0.37334767,251,31.795043
0.1829914,251,31.795357
0.078293495,251,31.79544
-0.18832354,251,31.795498
0.32174283,251,31.795553
0.33750325,251,31.795607
0.7687681,251,31.795661
0.30724496,251,31.795712
-0.7083603,251,31.795766
0.6668946,251,31.795819
-0.310329,251,31.795879
0.41271117,251,31.796008
-0.016181527,251,31.796093
-0.01099349,251,31.796152
1.3231722,251,31.796212
1.1426008,251,31.79627
0.52730197,251,35.540734
1.6201341,251,35.540867
-0.17637473,251,35.540895
1.2746745,251,35.540918
0.47659165,251,35.540939
0.24834937,251,35.54096
0.119756766,251,35.54098
0.86123943,251,35.541002
-0.029466808,251,35.541026
0.04866343,251,35.541048
-0.39690453,251,35.541068
0.06139343,251,35.541089
0.14353521,251,35.54111
-0.13754639,251,35.541132
0.95126617,251,35.541197
-0.5092677,251,35.54122
-0.2852294,251,39.421139
-0.52625626,251,39.421302
0.14507951,251,39.42132
-0.37512177,251,39.421335
-0.057160597,251,39.42135
1.3244109,251,39.421365
-1.5134649,251,39.421379
-0.12008053,251,39.421391
-0.6003104,251,39.421404
0.56640357,251,39.421418
0.69666535,251,39.421433
0.1441694,251,39.421448
0.6931151,251,39.421462
-0.3189607,251,39.421475
0.22279029,251,39.421489
-0.4290575,251,39.421504
-0.13236026,251,42.817456
0.084129386,251,42.817662
0.08780927,251,42.81769
0.618928,251,42.817712
0.51285803,251,42.817731
-0.12332607,251,42.817751
1.4078327,251,42.817774
0.19725233,251,42.817793
1.3608198,251,42.817811
0.6705243,251,42.817832
-0.022003772,251,42.817853
0.33571836,251,42.817878
-0.19196607,251,42.817897
0.6388139,251,42.817915
0.57378703,251,42.817937
0.8456883,251,42.817957
-0.24257722,251,45.933278
0.049501296,251,45.933494
0.043716867,251,45.933521
0.3167056,251,45.933542
0.28058988,251,45.933562
-0.3328673,251,45.933581
0.6415662,251,45.9336
0.39955792,251,45.933621
0.9322943,251,45.933642
-0.7713422,251,45.933663
-0.54241973,251,45.933683
-1.0915812,251,45.933702
0.24068162,251,45.933723
-0.033241544,251,45.933743
0.78406715,251,45.933764
-0.28576916,251,45.93379
1.3213234,251,48.692834
-0.20457083,251,48.69297
0.49013153,251,48.693003
0.09992864,251,48.693026
0.2805425,251,48.69305
-0.69485587,251,48.693073
0.25717726,251,48.693095
0.83473057,251,48.693118
0.025196582,251,48.69314
-0.11636531,251,48.693162
0.997515,251,48.693185
0.98626494,251,48.693209
-0.7327749,251,48.693233
0.27424088,251,48.693254
0.5285662,251,48.693276
0.7229331,251,48.693298
-0.59419113,251,51.826598
0.6696474,251,51.826736
-0.22912553,251,51.826754
-0.77216566,251,51.82677
1.0815588,251,51.826783
1.7693423,251,51.826797
-0.5304602,251,51.82681
0.7760151,251,51.826823
0.33954763,251,51.826835
0.5885013,251,51.826848
-0.66400266,251,51.826862
0.5347472,251,51.826876
0.02418305,251,51.826889
0.5574976,251,51.826903
-0.5280461,251,51.826916
0.42539304,251,51.826928
-0.38030574,251,55.141893
0.65753466,251,55.142101
0.17422643,251,55.142129
0.09461501,251,55.142151
1.5276486,251,55.142171
-0.9193506,251,55.142191
0.9799931,251,55.142213
-1.7197614,251,55.14224
0.21573205,251,55.142266
0.63166034,251,55.142295
-0.85093725,251,55.142319
0.7506339,251,55.142341
-0.59359384,251,55.142361
0.405312,251,55.14238
0.8895739,251,55.142402
0.24552149,251,55.142421
1.0443375,251,69.821868
1.5761594,251,69.822119
0.3501167,251,69.822154
0.99732745,251,69.822184
0.98845774,251,69.822209
0.1884771,251,69.822235
0.87583554,251,69.822262
-0.32257906,251,69.82229
-0.5785627,251,69.822316
0.80300844,251,69.822343
0.35238835,251,69.822372
-0.22568557,251,69.822399
-0.3477351,251,69.822424
0.25295994,251,69.822449
0.3980351,251,69.822474
0.5526985,251,69.822499
0.55867517,251,72.910542
0.61257374,251,72.910711
0.3377613,251,72.910754
0.2549385,251,72.910792
-1.0248271,251,72.910827
0.61992794,251,72.910864
0.85346365,251,72.910901
0.22892003,251,72.910935
0.30471718,251,72.910972
-0.16340652,251,72.911009
0.39584142,251,72.911044
0.5243872,251,72.911081
0.31423226,251,72.911123
