#{"t_start": 1753119096.4641435, "env_id": null}
r,l,t
1.2676566,61,0.207375
2.8098538,381,1.117031
0.23103079,501,2.301485
-0.8115482,501,3.450911
0.122905314,501,4.693172
1.2418848,501,5.876865
1.001676,501,7.08177
-1.882027,501,8.269526
-0.8619498,501,9.473457
2.1866026,181,22.507625
-8.851322,501,23.717645
0.4460083,501,24.899724
-0.35173276,41,25.040186
-1.022933,501,26.231832
0.04656636,501,27.407127
1.6082789,109,27.705142
-0.615364,501,28.903276
2.5812542,501,30.097171
-1.0496243,501,31.311558
-2.8636806,501,45.182131
-0.8294185,501,46.428207
1.8508513,501,47.645382
3.7169065,501,48.878904
1.1178344,501,50.101279
0.57369137,501,51.347859
2.1847453,501,52.594766
2.6889198,501,53.853462
1.3068923,501,70.953941
1.1948436,501,72.191003
-4.3697057,501,73.465943
0.37160483,501,74.688405
0.087004706,37,74.832058
-0.20824264,501,76.031643
0.8383946,501,77.278016
-1.1575888,501,78.53086
-0.6574901,501,79.714688
0.82371986,147,80.130264
0.87531424,501,97.273573
4.0366325,501,98.489862
-0.027790643,501,99.724704
2.0604124,501,100.989974
4.5174894,501,102.203325
1.739374,501,103.448556
-0.93097955,501,104.654712
-0.4201439,501,105.879203
-0.035292316,501,123.037356
-0.51590204,501,124.353438
-4.892486,501,125.590196
-4.3704967,501,126.794749
0.41280976,501,128.033634
0.41901505,501,129.323132
0.18899572,501,130.532889
-1.5705922,501,131.782201
2.4014564,501,133.028678
3.9812183,501,150.005458
-1.8430115,501,151.241382
1.6532329,501,152.515548
3.089858,501,153.745462
-5.76669,501,154.939706
0.06410515,501,156.221359
0.7752051,38,156.360753
3.1686082,501,157.602368
-1.3861371,501,158.821215
2.7370396,501,175.931851
0.3064693,501,177.194005
1.7801496,501,178.486062
1.0080266,501,179.740858
1.3171268,501,180.976348
2.1021154,501,182.288788
-3.1176877,501,183.544889
1.5667526,163,183.982547
-3.3276017,501,185.259065
-0.748301,501,202.373153
3.056751,501,203.589577
0.6165575,90,203.852966
-0.78749186,501,205.13713
3.8479195,501,206.377952
0.004626356,501,207.622145
-1.6507378,501,208.827563
-2.8316429,501,210.08778
2.5864372,501,211.402504
3.4358652,501,228.365023
0.3025763,501,229.589288
-0.8039986,501,230.81551
3.559544,501,232.074727
4.3763804,501,233.272507
0.78197503,501,234.491571
0.40630803,37,234.628033
1.2116646,69,234.841961
3.344956,501,236.047128
0.4016832,501,237.278364
-2.166031,501,254.454628
0.51404285,501,255.634781
-0.8595867,501,256.844073
-1.7920107,501,258.057126
-0.8816342,501,259.240234
-1.9967223,501,260.487982
-5.7294855,501,261.68665
1.7724642,501,262.925192
0.9862671,38,263.085921
-1.0629858,501,280.141008
-2.0316226,501,281.378071
1.9054095,501,282.664053
-0.6002061,501,283.870014
-1.5012833,501,285.080673
-1.5220232,501,286.272634
0.26111487,39,286.40736
3.0248818,501,287.678259
-0.84637684,501,289.021358
-1.2962278,501,305.897015
-1.7494774,501,307.130301
3.9269311,501,308.386474
-1.1053469,501,309.630864
3.2489192,501,310.867574
1.174402,501,312.137373
2.2197986,501,313.383166
-0.15432985,501,314.596837
