custom/intervention_type,custom/stage,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/std,train/n_updates
"position",3,5156864,0.89242953,354.24,9,1,416,,,,,,,,,,,
"position",3,5160960,0.73621744,368.3,32,2,253,0.071284674,0.00025,0.6043426513671875,-24.659700191020967,0.021612963145404743,-0.6071581840515137,-0.10447240658177179,0.5981925129890442,0.2,3.7825639247894287,1560
"position",3,5165056,0.7150872,375.94,55,3,223,0.37755412,0.00025,0.6216868082682292,-24.84247016410033,0.019941143288694244,-0.6054141521453857,-0.10544390376186735,0.7314260900020599,0.2,3.85290265083313,1575
"position",3,5169152,0.5297511,382.16,81,4,202,0.06554392,0.00025,0.5804697672526041,-25.05021787881851,0.012610779277262433,-0.615134060382843,-0.101979242413654,0.7790614366531372,0.2,3.945369243621826,1590
"position",3,5173248,0.5709161,395.17,107,5,191,0.07319713,0.00025,0.5432688395182291,-25.201592735449474,0.02575175746945509,-0.5988724231719971,-0.09138781301638423,0.5917660892009735,0.2,3.998386859893799,1605
"position",3,5177344,0.42323267,408.42,133,6,184,0.06136231,0.00025,0.5969950358072916,-25.355354420344035,0.012776482480209477,-0.6223893761634827,-0.10815244689341247,0.7936371862888336,0.2,4.082553863525391,1620
"position",3,5181440,0.37339348,411.49,159,7,180,0.07030057,0.00025,0.52930908203125,-25.505367454886436,0.02520945367383926,-0.5925257205963135,-0.08210915462429208,0.46390342712402344,0.2,4.143472194671631,1635
"position",3,5185536,0.39454284,426.87,185,8,176,0.20160235,0.00025,0.5931437174479167,-25.640990045666694,0.032741658568071826,-0.6180092692375183,-0.09838177843533534,0.7317326962947845,0.2,4.215590000152588,1650
"position",3,5189632,0.44360065,437.98,211,9,174,0.07397114,0.00025,0.591864013671875,-25.8532899081707,0.01493868079269305,-0.632565975189209,-0.10149788219884309,0.7138985395431519,0.2,4.312632083892822,1665
"position",3,5193728,0.5086443,443.79,237,10,172,0.07692395,0.00025,0.6012766520182292,-26.03846891820431,0.016503547949590334,-0.6405016183853149,-0.10630671229155268,0.7575660049915314,0.2,4.405550956726074,1680
"position",3,5197824,0.2772147,449.79,263,11,171,0.05874304,0.00025,0.5698557535807292,-26.138195608059565,0.009606343497580383,-0.6528636813163757,-0.11200472916825674,0.7511665225028992,0.2,4.46160888671875,1695
"position",3,5201920,0.22228895,450.77,289,12,169,0.085078076,0.00025,0.6056142171223958,-26.27900197704633,0.01677132549327022,-0.6370642185211182,-0.10571079642832046,0.6258448362350464,0.2,4.532778263092041,1710
"position",3,5206016,0.3504746,462.49,315,13,168,0.07316689,0.00025,0.6055338541666667,-26.4491334905227,0.023264042406905598,-0.6444849967956543,-0.10968668929296352,0.8121390342712402,0.2,4.621490478515625,1725
