2025-07-08 22:04:27,203 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Configure stats pid to 2192420
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Loading settings from /home/kpatherya3/.config/wandb/settings
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Loading settings from /home/kpatherya3/causal-core-su25/wandb/settings
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'autocalc_cpdrl.py', 'program_abspath': '/home/kpatherya3/causal-core-su25/autocalc_cpdrl.py', 'program': 'autocalc_cpdrl.py'}
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_init.py:_log_setup():533] Logging user logs to /home/kpatherya3/causal-core-su25/wandb/run-20250708_220427-tpmzlflu/logs/debug.log
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_init.py:_log_setup():534] Logging internal logs to /home/kpatherya3/causal-core-su25/wandb/run-20250708_220427-tpmzlflu/logs/debug-internal.log
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_init.py:init():619] calling init triggers
2025-07-08 22:04:27,204 INFO    MainThread:2192420 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {'task_name': 'pushing', 'curriculum_type': 'CausalMatching_Curriculum_on_PPO', 'cm_threshold': 0.05, 'timesteps_per_intervention': 100000, 'seed': 0}
2025-07-08 22:04:27,205 INFO    MainThread:2192420 [wandb_init.py:init():669] starting backend
2025-07-08 22:04:27,205 INFO    MainThread:2192420 [wandb_init.py:init():673] sending inform_init request
2025-07-08 22:04:27,208 INFO    MainThread:2192420 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-08 22:04:27,208 INFO    MainThread:2192420 [wandb_init.py:init():686] backend started and connected
2025-07-08 22:04:27,213 INFO    MainThread:2192420 [wandb_init.py:init():781] updated telemetry
2025-07-08 22:04:27,235 INFO    MainThread:2192420 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-07-08 22:04:27,630 INFO    MainThread:2192420 [wandb_init.py:init():867] starting run threads in backend
2025-07-08 22:04:27,706 INFO    MainThread:2192420 [wandb_run.py:_console_start():2456] atexit reg
2025-07-08 22:04:27,707 INFO    MainThread:2192420 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-07-08 22:04:27,707 INFO    MainThread:2192420 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-08 22:04:27,707 INFO    MainThread:2192420 [wandb_run.py:_redirect():2395] Redirects installed.
2025-07-08 22:04:27,709 INFO    MainThread:2192420 [wandb_init.py:init():911] run started, returning control to user process
2025-07-08 22:05:27,989 INFO    MainThread:2192420 [wandb_run.py:_tensorboard_callback():1544] tensorboard callback: autocalc_cpdrl_logs/PPO_2, True
2025-07-08 22:11:30,610 WARNING MsgRouterThr:2192420 [router.py:message_loop():75] message_loop has been closed
