2025-07-21 13:20:24,791 3055876 INFO [PRETRAINED] Using pretrained model path: ppo_pushing_sb3/final_model.zip
2025-07-21 13:20:24,792 3055876 INFO Starting with 7 interventions
2025-07-21 13:20:24,792 3055876 INFO ===final evaluation===
2025-07-21 13:20:36,855 3055876 INFO Final performance
2025-07-21 13:20:36,855 3055876 INFO average reward: 3.394 +/- 0.000
2025-07-21 13:20:36,855 3055876 INFO success rate: 1.000
2025-07-21 13:20:36,855 3055876 INFO average episode length: 501.0
2025-07-21 13:20:36,856 3055876 INFO initial performance: {'avg_reward': 3.393721938342554, 'reward_std': 4.440892098500626e-16, 'avg_length': 501.0, 'success_rate': 1.0, 'total_episodes': 10}
2025-07-21 13:20:36,856 3055876 INFO CURRICULUM STAGE 1/7
2025-07-21 13:20:36,856 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'visual', 'position', 'angle', 'random']
2025-07-21 13:20:36,856 3055876 INFO Randomly selected intervention: random
2025-07-21 13:20:36,856 3055876 INFO === stage 1/7: training on random intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_1_random
IntervenedCausalWorld created with random intervention
Reset #1: random intervention applied (success: True)
Reset #2: random intervention applied (success: True)
Reset #3: random intervention applied (success: True)
------------------------------------
| custom/              |           |
|    intervention_type | random    |
|    stage             | 1         |
| rollout/             |           |
|    ep_len_mean       | 267       |
|    ep_rew_mean       | 2.0352743 |
| time/                |           |
|    fps               | 368       |
|    iterations        | 1         |
|    time_elapsed      | 11        |
|    total_timesteps   | 5050368   |
------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 282        |
|    ep_rew_mean          | 1.8775079  |
| time/                   |            |
|    fps                  | 223        |
|    iterations           | 2          |
|    time_elapsed         | 36         |
|    total_timesteps      | 5054464    |
| train/                  |            |
|    approx_kl            | 0.03358264 |
|    clip_fraction        | 0.407      |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.6      |
|    explained_variance   | 0.336      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.479     |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.0773    |
|    std                  | 2.68       |
|    value_loss           | 0.0988     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 302        |
|    ep_rew_mean          | 1.8642348  |
| time/                   |            |
|    fps                  | 197        |
|    iterations           | 3          |
|    time_elapsed         | 62         |
|    total_timesteps      | 5058560    |
| train/                  |            |
|    approx_kl            | 0.04088657 |
|    clip_fraction        | 0.42       |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.7      |
|    explained_variance   | 0.635      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.526     |
|    n_updates            | 1185       |
|    policy_gradient_loss | -0.0794    |
|    std                  | 2.72       |
|    value_loss           | 0.0415     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | random      |
|    stage                | 1           |
| rollout/                |             |
|    ep_len_mean          | 319         |
|    ep_rew_mean          | 1.8797176   |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 4           |
|    time_elapsed         | 87          |
|    total_timesteps      | 5062656     |
| train/                  |             |
|    approx_kl            | 0.040596083 |
|    clip_fraction        | 0.476       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.9       |
|    explained_variance   | 0.757       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.523      |
|    n_updates            | 1200        |
|    policy_gradient_loss | -0.0914     |
|    std                  | 2.76        |
|    value_loss           | 0.0317      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 339        |
|    ep_rew_mean          | 1.7659507  |
| time/                   |            |
|    fps                  | 181        |
|    iterations           | 5          |
|    time_elapsed         | 112        |
|    total_timesteps      | 5066752    |
| train/                  |            |
|    approx_kl            | 0.04988959 |
|    clip_fraction        | 0.506      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.1      |
|    explained_variance   | 0.121      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.486     |
|    n_updates            | 1215       |
|    policy_gradient_loss | -0.0589    |
|    std                  | 2.84       |
|    value_loss           | 0.117      |
----------------------------------------
---------------------------------------
| custom/                 |           |
|    intervention_type    | random    |
|    stage                | 1         |
| rollout/                |           |
|    ep_len_mean          | 359       |
